UniqueID,SH_DYN_IMRT BOTHSEX                 <1Y       ,SH_DYN_IMRT FEMALE                 <1Y       ,SH_DYN_IMRT MALE                 <1Y       ,SH_DYN_IMRTN BOTHSEX                 <1Y       ,SH_DYN_IMRTN FEMALE                 <1Y       ,SH_DYN_IMRTN MALE                 <1Y       ,SH_DYN_MORT BOTHSEX                 <5Y       ,SH_DYN_MORTN BOTHSEX                 <5Y       ,SH_DYN_MORTN FEMALE                 <5Y       ,SH_DYN_MORTN MALE                 <5Y       
SH_DYN_IMRT BOTHSEX                 <1Y       ,1.0,0.9997950899289777,0.9999192979268486,0.9999446951780946,0.9999639538464612,0.9999126771740438,0.9997685246369137,0.9999557874889655,0.9999546935280988,0.9999337798585605
SH_DYN_IMRT FEMALE                 <1Y       ,0.9997950899289777,1.0,0.9996694367862291,0.9996182383141587,0.9997124989471242,0.9995273250800121,0.9998548017192428,0.9996803452790985,0.9997818371269211,0.9995769204649154
SH_DYN_IMRT MALE                 <1Y       ,0.9999192979268486,0.9996694367862291,1.0,0.9998681886382655,0.9998766907670807,0.9998446192814694,0.9997010877431292,0.9998900663400732,0.9998895139436789,0.9998676303674859
SH_DYN_IMRTN BOTHSEX                 <1Y       ,0.9999446951780946,0.9996182383141587,0.9998681886382655,1.0,0.9999879500499267,0.9999925684304142,0.9997024849391843,0.9999925548186753,0.999958151156321,0.9999969846237048
SH_DYN_IMRTN FEMALE                 <1Y       ,0.9999639538464612,0.9997124989471242,0.9998766907670807,0.9999879500499267,1.0,0.9999615924852253,0.999799035852414,0.9999954887742384,0.9999869841106434,0.9999793621918808
SH_DYN_IMRTN MALE                 <1Y       ,0.9999126771740438,0.9995273250800121,0.9998446192814694,0.9999925684304142,0.9999615924852253,1.0,0.9996097716726339,0.9999733561736158,0.9999186140208214,0.9999939293014867
SH_DYN_MORT BOTHSEX                 <5Y       ,0.9997685246369137,0.9998548017192428,0.9997010877431292,0.9997024849391843,0.999799035852414,0.9996097716726339,1.0,0.9997809347831481,0.9998790196938439,0.9996802117912681
SH_DYN_MORTN BOTHSEX                 <5Y       ,0.9999557874889655,0.9996803452790985,0.9998900663400732,0.9999925548186753,0.9999954887742384,0.9999733561736158,0.9997809347831481,1.0,0.9999839311996819,0.9999898770529803
SH_DYN_MORTN FEMALE                 <5Y       ,0.9999546935280988,0.9997818371269211,0.9998895139436789,0.999958151156321,0.9999869841106434,0.9999186140208214,0.9998790196938439,0.9999839311996819,1.0,0.9999483006530506
SH_DYN_MORTN MALE                 <5Y       ,0.9999337798585605,0.9995769204649154,0.9998676303674859,0.9999969846237048,0.9999793621918808,0.9999939293014867,0.9996802117912681,0.9999898770529803,0.9999483006530506,1.0
