UniqueID,SE_ADT_EDUCTRN BOTHSEX                        ,SE_ADT_EDUCTRN FEMALE                        ,SE_ADT_EDUCTRN MALE                        
SE_ADT_EDUCTRN BOTHSEX                        ,1.0,0.9817252600294485,0.9327267112575574
SE_ADT_EDUCTRN FEMALE                        ,0.9817252600294485,1.0,0.8470608729082949
SE_ADT_EDUCTRN MALE                        ,0.9327267112575574,0.8470608729082949,1.0
