,Year,GF_COM_PPPI,GF_COM_PPPI_KD_new
0,2012.0,4578.0,5097.6946
1,2013.0,2076.7,2279.0626
2,2014.0,1690.5,1825.6139
3,2015.0,210.0,226.5156
4,2016.0,8734.8,9304.3733
5,2017.0,15381.99,16043.2701
6,2018.0,6638.15,6758.4471
7,2019.0,372.38,372.38
8,2020.0,67273.92,7437.556075000088
9,2021.0,,7926.2530583334155
