,Year,ER_H2O_STRESS_new
0,2012.0,26.0
1,2013.0,27.0
2,2014.0,27.9
3,2015.0,28.78
4,2016.0,29.7
5,2017.0,29.7
6,2018.0,29.7
7,2019.0,31.011428571428496
8,2020.0,31.664999999999964
9,2021.0,32.31857142857143
