,Year,AG_PRD_ORTIND_new,AG_PRD_AGVAS_new,AG_XPD_AGSGB_new
0,2012.0,0.1008,13.37,1.35
1,2013.0,0.0785,13.36,1.05
2,2014.0,0.0618,13.34,0.82
3,2015.0,0.23,13.49,3.09
4,2016.0,0.1164,13.48,1.57
5,2017.0,0.3267,13.16,4.3
6,2018.0,0.33,12.81,4.19
7,2019.0,0.31,12.72,3.94
8,2020.0,0.3765785714285812,12.795714285714297,4.828928571428719
9,2021.0,0.4170904761904808,12.702261904761912,5.337857142857388
