,Year,IT_USE_ii99_new
0,2012.0,14.52
1,2013.0,14.94
2,2014.0,17.14
3,2015.0,22.06274
4,2016.0,25.44735
5,2017.0,32.335809999999995
6,2018.0,39.90464
7,2019.0,47.69065
8,2020.0,48.50460178571484
9,2021.0,53.33781357142834
