,Year,SL_EMP_PCAP_new
0,2012.0,2.8
1,2013.0,4.7
2,2014.0,3.3
3,2015.0,4.1
4,2016.0,3.7
5,2017.0,2.0
6,2018.0,3.1
7,2019.0,1.7
8,2020.0,2.103571428571456
9,2021.0,1.8654761904762154
