,Year,SH_STA_SCIDE_new,SH_STA_SCIDEN_new
0,2012.0,2.4,5760.0
1,2013.0,2.4,5872.0
2,2014.0,2.4,5984.0
3,2015.0,2.4,6096.0
4,2016.0,2.4,6208.0
5,2017.0,2.4,6320.0
6,2018.0,2.4,6432.0
7,2019.0,2.4,6544.0
8,2020.0,2.4,6656.0
9,2021.0,2.4,6768.0
