,Year,ER_FFS_CMPT_new,ER_FFS_CMPT_PC_new,ER_FFS_CMPT_GDP_new
0,2012.0,8503.038899999112,36.12953799999741,1.3727559999999812
1,2013.0,10885.679399998859,44.29870799999844,1.523840000000007
2,2014.0,13268.319899999537,52.46787799999947,1.6749239999999759
3,2015.0,16186.256,62.64437,1.88026
4,2016.0,16113.348999999998,61.60564,1.7820900000000002
5,2017.0,16687.004,63.05287,1.75649
6,2018.0,33876.93,126.56204,3.3906300000000003
7,2019.0,19217.668,71.01201999999998,1.83141
8,2020.0,27564.162899998948,101.48289799999839,2.5814280000000167
9,2021.0,29946.803399999626,109.65206799999942,2.7325119999999856
