,Year,ER_H2O_WUEYST_new
0,2012.0,3.22
1,2013.0,3.29
2,2014.0,3.36
3,2015.0,3.46
4,2016.0,3.57
5,2017.0,3.75
6,2018.0,3.94
7,2019.0,3.982857142857142
8,2020.0,4.100357142857149
9,2021.0,4.217857142857156
