,Year,GF_FRN_FDI_new
0,2012.0,19137.87
1,2013.0,18816.66
2,2014.0,21810.52
3,2015.0,16641.45
4,2016.0,3921.23
5,2017.0,20579.23
6,2018.0,20563.47
7,2019.0,23429.03
8,2020.0,19310.186785714235
9,2021.0,19576.35440476192
