,Year,FI_FSI_FSANL,FI_FSI_FSERA,FI_FSI_FSKA,FI_FSI_FSKNL,FI_FSI_FSKRTC,FI_FSI_FSLS,FI_FSI_FSSNO
0,2012.0,1.77338188532309,3.095462956147049,12.2371428767523,4.67087925867755,15.7181640551908,36.4429191150252,3.2922572376637405
1,2013.0,1.68676678017478,3.0502264171781897,12.4665107344589,4.609866770498769,18.2964783943157,30.539392531694,1.73727150347341
2,2014.0,2.0668174536709,2.7438011925863304,12.7618102631708,5.47733038743709,17.8438911348625,33.3356232237313,2.3848154924351097
3,2015.0,2.43104248114155,2.24851617807577,13.6058696263685,5.893689074982751,18.7589791649544,35.048059283201,0.908800906910787
4,2016.0,2.89634913035996,2.1193114124236,14.4056925574665,5.65926671627151,22.2156904500528,32.6215139587815,1.7798363549676002
5,2017.0,2.5570048176247098,2.41046426269008,15.2176820260939,4.977707667296049,22.6518794840288,31.6595505464853,1.58580807983695
6,2018.0,2.2920824647474,2.5139195960095497,15.1153242149689,4.3760141151311,21.204588872296696,31.9665147232309,1.6846339959911498
7,2019.0,2.43274363960576,2.48257247864254,15.6322946381078,4.97887476020919,21.7671209169088,30.763523600523506,1.58915120853816
8,2020.0,2.75060076179292,1.50047141700982,14.7993654723172,3.93929876737127,22.1595325053566,27.426327595973703,0.8915190027247021
9,2021.0,,,,,,,
