,Year,IS_RDP_PORFVOL_new
0,2012.0,10713294.0
1,2013.0,11718228.0
2,2014.0,11636900.0
3,2015.0,12031700.0
4,2016.0,12431700.0
5,2017.0,12829600.0
6,2018.0,14060600.0
7,2019.0,14763630.0
8,2020.0,14882616.071428657
9,2021.0,15406929.30952382
