,Year,SH_SAN_HNDWSH,SH_SAN_DEFECT
0,2012.0,76.0,16.0
1,2013.0,79.0,15.0
2,2014.0,81.0,13.0
3,2015.0,84.0,12.0
4,2016.0,87.0,11.0
5,2017.0,89.0,10.0
6,2018.0,92.0,8.0
7,2019.0,94.0,7.0
8,2020.0,94.0,6.0
9,2021.0,,
