,Year,ST_GDP_ZS_new
0,2012.0,4.0
1,2013.0,4.0
2,2014.0,4.1
3,2015.0,4.3
4,2016.0,4.1
5,2017.0,4.1
6,2018.0,4.200000000000003
7,2019.0,4.228571428571428
8,2020.0,4.25714285714286
9,2021.0,4.285714285714285
