,Year,ER_CBD_SMTA_new,ER_CBD_ORSPGRFA_new,ER_CBD_PTYPGRFA_new
0,2012,91,0.0,1
1,2013,112,0.0,1
2,2014,145,0.0,1
3,2015,166,0.0,1
4,2016,183,0.0,1
5,2017,208,0.0,1
6,2018,220,0.0,1
7,2019,223,1.0,1
8,2020,226,1.0,1
9,2021,226,1.0,1
