,Year,DC_FTA_TOTAL_new
0,2012.0,933.5716
1,2013.0,1027.76824
2,2014.0,439.25557
3,2015.0,3409.18378
4,2016.0,1053.97416
5,2017.0,1168.4915
6,2018.0,2042.80551
7,2019.0,886.4735400000002
8,2020.0,1615.4403857142897
9,2021.0,1669.9403630952438
