,Year,SI_COV_WKINJRY_new,SI_COV_PENSN_new
0,2012,11.139999999999873,13.276923076923083
1,2013,12.559999999999945,13.438461538461581
2,2014,13.979999999999563,13.600000000000023
3,2015,15.4,13.761538461538464
4,2016,16.81999999999971,14.0
5,2017,18.23999999999978,14.084615384615404
6,2018,19.659999999999854,14.246153846153845
7,2019,21.079999999999927,14.1
8,2020,22.5,14.8
9,2021,23.919999999999618,14.730769230769226
