,Year,SN_STA_OVWGTN,SH_STA_WAST_new,SH_STA_WASTN_new,SN_STA_OVWGT_new
0,2012.0,1917.6,14.159999999999854,3377.219999999972,12.200000000000045
1,2013.0,2064.8,13.5,3228.3,11.5
2,2014.0,2206.6,12.839999999999918,3079.3800000000047,10.799999999999955
3,2015.0,2329.5,12.179999999999836,2930.4599999999627,10.099999999999909
4,2016.0,2467.5,11.519999999999982,2781.539999999979,9.400000000000091
5,2017.0,2552.9,10.8599999999999,2632.6199999999953,8.700000000000045
6,2018.0,2596.3,10.2,2483.7,8.0
7,2019.0,2619.1,9.539999999999964,2334.7799999999697,7.2999999999999545
8,2020.0,2635.2,8.879999999999882,2185.859999999986,6.599999999999909
9,2021.0,,8.2199999999998,2036.9400000000023,5.900000000000091
