,Year,NY_GDP_PCAP_new
0,2012.0,4.61
1,2013.0,4.15
2,2014.0,3.64
3,2015.0,3.56
4,2016.0,3.76
5,2017.0,3.84
6,2018.0,3.98
7,2019.0,3.88
8,2020.0,3.651071428571413
9,2021.0,3.5896428571428487
