,Year,AG_PRD_FIESMS_new,AG_PRD_FIESMSN_new,AG_PRD_FIESS_new,AG_PRD_FIESSN_new
0,2012.0,6.77,1684.6200000000026,0.8500000000000014,197.94999999999982
1,2013.0,6.780000000000001,1707.2400000000052,0.8400000000000034,200.76000000000022
2,2014.0,6.789999999999999,1729.8600000000006,0.8300000000000018,203.5699999999997
3,2015.0,6.0,1548.7,0.7,175.5
4,2016.0,7.3,1897.1,0.9,229.0
5,2017.0,7.6,1999.9,0.9,240.1
6,2018.0,7.0,1865.1,0.8,222.7
7,2019.0,6.2,1677.8,0.7,192.7
8,2020.0,6.850000000000001,1865.5800000000017,0.7700000000000031,220.42999999999938
9,2021.0,6.859999999999999,1888.2000000000044,0.7600000000000016,223.23999999999978
