,Year,EG_EGY_CLEAN_new
0,2012.0,53.0
1,2013.0,58.0
2,2014.0,63.0
3,2015.0,68.0
4,2016.0,72.0
5,2017.0,76.0
6,2018.0,79.0
7,2019.0,82.0
8,2020.0,87.67857142857065
9,2021.0,91.8571428571413
