,Year,SH_ACS_UNHC_new
0,2012.0,47.0
1,2013.0,49.0
2,2014.0,51.0
3,2015.0,53.0
4,2016.0,55.0
5,2017.0,57.0
6,2018.0,59.0
7,2019.0,61.0
8,2020.0,63.0
9,2021.0,65.0
