,Year,ER_RSK_LBREDS
0,2012.0,9.0
1,2013.0,13.0
2,2014.0,14.0
3,2015.0,12.0
4,2016.0,14.0
5,2017.0,14.0
6,2018.0,20.0
7,2019.0,21.0
8,2020.0,22.0
9,2021.0,31.0
