,Year,ER_GRF_ANIMRCNTN_new,ER_GRF_PLNTSTOR_new
0,2012.0,9.0,4900.0
1,2013.0,9.0,4900.694610778443
2,2014.0,9.0,4901.0
3,2015.0,9.0,4901.185628742514
4,2016.0,9.0,4902.0
5,2017.0,9.0,4902.0
6,2018.0,9.0,4902.0
7,2019.0,9.0,4902.0
8,2020.0,9.0,4902.0
9,2021.0,9.0,4902.65868263473
