,Year,EN_MAR_CHLDEV_new,EN_MAR_BEALITSQ_new
0,2012.0,4.79,14441697.333333492
1,2013.0,17.55,12558165.333333492
2,2014.0,3.26,10674633.333333492
3,2015.0,0.09,8791101.333333492
4,2016.0,0.12,4017753.0
5,2017.0,0.41,10803670.0
6,2018.0,1.06,250689.0
7,2019.0,0.07,1256973.3333334923
8,2020.0,0.0,0.0
9,2021.0,0.0,0.0
