,Year,ER_REG_SSFRAR_new
0,2012.0,0.0
1,2013.0,0.5
2,2014.0,1.0
3,2015.0,1.5
4,2016.0,2.0
5,2017.0,2.5
6,2018.0,3.0
7,2019.0,3.5
8,2020.0,4.0
9,2021.0,4.5
