,Year,SH_ACS_UNHC_new
0,2012.0,60.0
1,2013.0,59.0
2,2014.0,58.0
3,2015.0,57.0
4,2016.0,56.0
5,2017.0,55.0
6,2018.0,54.0
7,2019.0,53.0
8,2020.0,52.0
9,2021.0,51.0
