,Year,SL_CPA_YEMP_new
0,2012.0,3.0
1,2013.0,3.0
2,2014.0,3.0
3,2015.0,3.0
4,2016.0,3.0
5,2017.0,3.0
6,2018.0,3.0
7,2019.0,3.0
8,2020.0,3.0
9,2021.0,3.0
