,Year,SH_TRP_INTVN_new
0,2012.0,3216909.0
1,2013.0,3205688.0
2,2014.0,3234783.0
3,2015.0,3321447.0
4,2016.0,3265661.0
5,2017.0,4836947.0
6,2018.0,4957871.0
7,2019.0,4957871.0
8,2020.0,5251344.714285731
9,2021.0,5557277.511904836
