,Year,ER_GRF_PLNTSTOR_new
0,2012,946.0
1,2013,946.0
2,2014,946.0
3,2015,946.0
4,2016,946.0
5,2017,946.0
6,2018,946.0
7,2019,946.0
8,2020,946.0
9,2021,946.0
