,Year,EG_FEC_RNEW_new
0,2012.0,67.4418
1,2013.0,67.28
2,2014.0,66.3634
3,2015.0,63.3911
4,2016.0,63.3282
5,2017.0,65.071
6,2018.0,64.0977
7,2019.0,62.78395714285716
8,2020.0,62.15947499999993
9,2021.0,61.5349928571427
