,Year,SG_DSR_SILS_new,SG_DSR_SILN_new,SG_GOV_LOGV_new
0,2012.0,0.0,0.0,0.0
1,2013.0,0.0,0.0,0.0
2,2014.0,0.0,0.0,0.0
3,2015.0,0.04412,15.0,340.0
4,2016.0,0.29412,100.0,340.0
5,2017.0,0.01471,5.0,340.0
6,2018.0,0.26765,91.0,340.0
7,2019.0,0.48824,166.0,340.0
8,2020.0,0.75588,257.0,340.0
9,2021.0,0.7501966666666533,211.94444444444525,481.6666666666715
