,Year,AG_FPA_CFPI_new
0,2012.0,0.1
1,2013.0,0.6
2,2014.0,0.7
3,2015.0,1.7
4,2016.0,0.6
5,2017.0,0.3
6,2018.0,-0.2
7,2019.0,-0.2
8,2020.0,0.0
9,2021.0,0.0
