,Year,ER_H2O_WUEYST_new
0,2012.0,15.23
1,2013.0,15.86
2,2014.0,16.54
3,2015.0,17.27
4,2016.0,17.89
5,2017.0,18.37
6,2018.0,18.94
7,2019.0,19.657142857142844
8,2020.0,20.282142857142844
9,2021.0,20.907142857142844
