,Year,EG_EGY_PRIM_new
0,2012.0,4.13
1,2013.0,4.09
2,2014.0,4.08
3,2015.0,4.16
4,2016.0,4.37
5,2017.0,4.24
6,2018.0,4.25
7,2019.0,4.324285714285708
8,2020.0,4.358214285714283
9,2021.0,4.392142857142858
