,Year,IT_USE_ii99_new
0,2012.0,16.0
1,2013.0,19.7
2,2014.0,23.4
3,2015.0,28.805940000000003
4,2016.0,34.50933
5,2017.0,40.70305
6,2018.0,44.521304666666765
7,2019.0,49.474138380952354
8,2020.0,54.42697209523794
9,2021.0,59.37980580952353
