,Year,DT_TDS_DECT_new
0,2012.0,4.6265
1,2013.0,7.0703
2,2014.0,4.5334
3,2015.0,4.9569
4,2016.0,5.3907
5,2017.0,5.9427
6,2018.0,4.2768
7,2019.0,5.5209
8,2020.0,5.126650000000012
9,2021.0,5.090400000000017
