,Year,FI_FSI_FSANL_new,FI_FSI_FSERA_new,FI_FSI_FSKA_new,FI_FSI_FSKNL_new,FI_FSI_FSKRTC_new,FI_FSI_FSLS_new,FI_FSI_FSSNO_new
0,2012.0,1.34453970286515,1.97773085426019,6.6262106162069,2.13872895869976,10.228631076140902,17.953424152713602,8.64379895852584
1,2013.0,1.19312533153281,1.95635187932016,6.91581201111457,1.7531050583213,10.6468792258169,18.4738424715388,11.999170031675696
2,2014.0,1.28775491932621,1.8981008083037096,6.94470475794163,2.2276743094442097,10.6298821626347,30.298076129559107,12.2809262600249
3,2015.0,1.3473229947220702,1.68609869513848,6.86319318094466,1.6959866926424798,10.3277521445394,22.8114450977315,19.6076234484564
4,2016.0,2.05475436425969,1.52727749774886,7.05377047208768,5.2296357338441615,11.4510012601282,22.7175129460274,19.6649946031573
5,2017.0,2.32399816309541,1.52512662937814,6.9677971695834815,6.40737477513386,11.728957949807803,23.3718679786061,18.259631615035698
6,2018.0,2.17622104946276,1.4539884328068102,7.0822194797091615,4.9536513799055495,11.9250446172809,24.3737708519799,18.7500155056972
7,2019.0,2.20127204363775,1.64686696454538,6.937454343475982,3.51680139827918,11.8141756295067,24.2425755960605,14.467824555385098
8,2020.0,1.8300875035603703,1.6044096196827298,6.47910281397956,2.05318055173676,10.8080281015273,25.8783619496288,14.5775503501035
9,2021.0,2.3943616831409713,1.4080832229603573,6.8624846400339115,4.5900352299537985,11.87984535419605,26.489911037672528,18.922211352731665
