,Year,NY_GDP_PCAP_new
0,2012.0,0.8
1,2013.0,1.54
2,2014.0,2.3
3,2015.0,1.98
4,2016.0,0.63
5,2017.0,1.0
6,2018.0,1.22
7,2019.0,1.88
8,2020.0,1.4567857142857115
9,2021.0,1.4652380952380923
