,Year,EG_EGY_CLEAN_new
0,2012.0,39.0
1,2013.0,40.0
2,2014.0,42.0
3,2015.0,43.0
4,2016.0,44.0
5,2017.0,46.0
6,2018.0,48.0
7,2019.0,49.0
8,2020.0,50.46428571428578
9,2021.0,51.92857142857156
