,Year,SN_ITK_DEFC_new,SN_ITK_DEFCN_new
0,2012.0,17.0,2.6
1,2013.0,17.6,2.7
2,2014.0,17.7,2.8
3,2015.0,17.3,2.8
4,2016.0,16.4,2.7
5,2017.0,16.3,2.8
6,2018.0,16.0,2.8
7,2019.0,16.8,2.9
8,2020.0,16.110714285714266,2.8964285714285722
9,2021.0,15.93809523809523,2.9261904761904773
