,Year,GF_FRN_FDI_new
0,2012.0,1244.5
1,2013.0,1295.4
2,2014.0,1388.7
3,2015.0,1220.8
4,2016.0,1184.6
5,2017.0,1169.5
6,2018.0,1002.7
7,2019.0,998.24405
8,2020.0,980.1398821428593
9,2021.0,933.936410119044
