,Year,AG_PRD_FIESMS_new,AG_PRD_FIESMSN_new,AG_PRD_FIESS_new,AG_PRD_FIESSN_new
0,2012.0,37.559999999999945,560.1899999999878,13.850000000000136,205.14999999999418
1,2013.0,39.059999999999945,600.7799999999988,14.580000000000155,223.43999999999505
2,2014.0,40.559999999999945,641.3699999999953,15.310000000000173,241.72999999999593
3,2015.0,42.7,693.5,16.1,261.1
4,2016.0,44.2,733.1,17.0,282.2
5,2017.0,43.5,736.0,17.1,289.8
6,2018.0,45.2,780.2,18.1,312.5
7,2019.0,49.7,872.9,19.2,337.4
8,2020.0,49.559999999999945,884.9099999999889,19.690000000000055,351.4699999999939
9,2021.0,51.059999999999945,925.5,20.420000000000073,369.75999999999476
