,Year,SL_ISV_IFEM_new
0,2012.0,82.7
1,2013.0,80.5
2,2014.0,78.1
3,2015.0,79.2
4,2016.0,79.2
5,2017.0,80.1
6,2018.0,80.6
7,2019.0,79.0
8,2020.0,78.88571428571424
9,2021.0,78.65476190476187
