,Year,SH_DTH_NCD_new
0,2012.0,0.0
1,2013.0,0.0
2,2014.0,673.0
3,2015.0,2373.0
4,2016.0,4073.0
5,2017.0,5773.0
6,2018.0,7473.0
7,2019.0,9173.0
8,2020.0,10873.0
9,2021.0,12573.0
