,Year,GF_XPD_GBPC
0,2012.0,96.1274
1,2013.0,90.3687
2,2014.0,94.2931
3,2015.0,88.5273
4,2016.0,92.7958
5,2017.0,92.5031
6,2018.0,97.7758
7,2019.0,94.4411
8,2020.0,66.6193
9,2021.0,
