,Year,SH_HIV_INCD_new
0,2012.0,0.12
1,2013.0,0.11
2,2014.0,0.09
3,2015.0,0.09
4,2016.0,0.09
5,2017.0,0.08
6,2018.0,0.07
7,2019.0,0.07
8,2020.0,0.058928571428571885
9,2021.0,0.052023809523809916
