,Year,GF_COM_PPPI,GF_COM_PPPI_KD_new
0,2012.0,180.0,200.4336
1,2013.0,523.0,573.9634
2,2014.0,530.2,572.5336
3,2015.0,94.0,101.3927
4,2016.0,0.0,0.0
5,2017.0,0.0,0.0
6,2018.0,0.0,0.0
7,2019.0,56.4,56.4
8,2020.0,5194.5,0.0
9,2021.0,,0.0
