,Year,BX_TRF_PWKR
0,2012.0,10.0119
1,2013.0,10.0077
2,2014.0,9.9416
3,2015.0,10.4234
4,2016.0,11.1465
5,2017.0,11.7144
6,2018.0,12.8915
7,2019.0,13.8348
8,2020.0,14.6935
9,2021.0,
