,Year,SH_TBS_INCD_new
0,2012.0,28.0
1,2013.0,27.0
2,2014.0,25.0
3,2015.0,26.0
4,2016.0,24.0
5,2017.0,25.0
6,2018.0,26.0
7,2019.0,26.0
8,2020.0,24.75
9,2021.0,24.5
