Year,SH_BLD_MRSA,SH_BLD_ECOLI
2012.0,,
2013.0,,
2014.0,,
2015.0,,
2016.0,,
2017.0,,
2018.0,52.29,71.88
2019.0,39.85,70.14
2020.0,,
2021.0,,
