Year,GF_XPD_GBPC
2012.0,103.9015
2013.0,98.0721
2014.0,96.4552
2015.0,88.5771
2016.0,88.9529
2017.0,96.4864
2018.0,99.6605
2019.0,93.8685
2020.0,
2021.0,
