Year,ER_RSK_LBREDS
2012.0,9.0
2013.0,13.0
2014.0,14.0
2015.0,12.0
2016.0,14.0
2017.0,14.0
2018.0,20.0
2019.0,21.0
2020.0,22.0
2021.0,31.0
