Year,EN_MAR_CHLDEV,EN_MAR_BEALITSQ
2012.0,1.87,
2013.0,1.36,
2014.0,1.4,
2015.0,2.8,
2016.0,0.84,2090664.0
2017.0,1.98,1539911.0
2018.0,1.27,508551.0
2019.0,4.68,
2020.0,,
2021.0,,
