Indicator,Goal,Target,degree,btwn,eigen.vector,eigen.value
1.1.1,1,1.1,37,0.49679487179487175,0.9868526777059276,36.548117764175316
1.2.1,1,1.2,35,5.53141673141673,0,36.548117764175316
1.3.1,1,1.3,35,5.53141673141673,0,36.548117764175316
1.4.1,1,1.4,37,0.49679487179487175,0.9868526777059283,36.548117764175316
1.5.1,1,1.5,18,0,0,36.548117764175316
1.5.2,1,1.5,4,42.5,0.027274692514603537,36.548117764175316
1.5.3,1,1.5,29,0,0,36.548117764175316
1.5.4,1,1.5,5,0,0.08535920707964191,36.548117764175316
1.a.2,1,1.a,31,0.44531949531949533,0,36.548117764175316
10.4.1,10,10.4,32,1.8861786361786361,0,36.548117764175316
10.5.1,10,10.5,37,4.027777777777776,0.9702338441505451,36.548117764175316
10.7.3,10,10.7,1,0,0,36.548117764175316
10.c.1,10,10.c,32,8.757007807007806,0,36.548117764175316
11.1.1,11,11.1,41,45.94123931623933,1,36.548117764175316
11.5.1,11,11.5,18,0,0,36.548117764175316
11.5.2,11,11.5,4,42.5,0.027274692514603575,36.548117764175316
11.6.2,11,11.6,36,0.125,0.9651261231585273,36.548117764175316
11.b.1,11,11.b,29,0,0,36.548117764175316
11.b.2,11,11.b,5,0,0.08535920707964187,36.548117764175316
12.4.2,12,12.4,38,164.125,0.9665789092974174,36.548117764175316
12.a.1,12,12.a,37,0.49679487179487175,0.9868526777059279,36.548117764175316
12.b.1,12,12.b,31,1.4212528212528213,0,36.548117764175316
12.c.1,12,12.c,31,10.524915824915826,0,36.548117764175316
13.1.1,13,13.1,18,0,0,36.548117764175316
13.1.2,13,13.1,29,0,0,36.548117764175316
13.1.3,13,13.1,5,0,0.08535920707964183,36.548117764175316
14.1.1,14,14.1,30,0.29289784289784293,0,36.548117764175316
14.7.1,14,14.7,2,0,0.0014925360966926218,36.548117764175316
15.1.1,15,15.1,37,0.49679487179487175,0.9868526777059277,36.548117764175316
15.2.1,15,15.2,36,0.125,0.9651261231585272,36.548117764175316
15.5.1,15,15.5,32,1.8861786361786361,0,36.548117764175316
15.6.1,15,15.6,37,0.49679487179487175,0.9868526777059277,36.548117764175316
15.8.1,15,15.8,34,3.6619861619861616,0,36.548117764175316
16.2.2,16,16.2,37,0.49679487179487175,0.9868526777059276,36.548117764175316
16.3.2,16,16.3,35,5.53141673141673,0,36.548117764175316
16.6.1,16,16.6,9,0,0.23757958454248884,36.548117764175316
17.1.1,17,17.1,37,0.49679487179487175,0.9868526777059267,36.548117764175316
17.13.1,17,17.13,32,1.8861786361786361,0,36.548117764175316
17.17.1,17,17.17,14,0,0,36.548117764175316
17.3.1,17,17.3,1,0,0,36.548117764175316
17.3.2,17,17.3,5,2.147619047619048,0,36.548117764175316
17.8.1,17,17.8,34,3.6619861619861616,0,36.548117764175316
17.9.1,17,17.9,2,0,0,36.548117764175316
2.1.1,2,2.1,37,4.027777777777776,0.9702338441505445,36.548117764175316
2.1.2,2,2.1,2,0,0.001492536096692687,36.548117764175316
