,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
41,13.1.3,1.5.4,pearson,two-sided,9,1.0,"[1.0, 1.0]",0.0,inf,1.0
42,13.1.3,8.1.1,pearson,two-sided,9,-0.06455104026652006,[-0.7   0.63],0.8689534686766929,0.411,0.05205098732192753
43,13.1.3,3.6.1,pearson,two-sided,9,-0.920746378288657,[-0.98 -0.66],0.0004267336967966338,73.298,0.9810214661902771
44,13.1.3,16.6.1,pearson,two-sided,9,0.6012429724618209,[-0.1  0.9],0.08679550602443864,1.472,0.43052999558307115
45,13.1.3,11.b.2,pearson,two-sided,9,1.0,"[1.0, 1.0]",0.0,inf,1.0
46,13.1.3,2.2.1,pearson,two-sided,9,0.7801721125416381,[0.24 0.95],0.013127146381595673,5.771,0.7615330043420727
47,13.1.3,9.5.1,pearson,two-sided,9,-0.8403716814118211,[-0.97 -0.4 ],0.004560628793611095,12.636,0.8755654407416055
48,13.1.3,1.3.1,pearson,two-sided,9,0.9343992969043604,[0.71 0.99],0.00022319667372901046,118.285,0.9897655943584249
49,13.1.3,12.a.1,pearson,two-sided,9,0.9004985714441239,[0.59 0.98],0.0009271740971940317,41.259,0.962509974915339
50,13.1.3,7.a.1,pearson,two-sided,9,-0.47835293914031357,[-0.87  0.27],0.19272775950415827,0.86,0.26779669119115806
51,13.1.3,17.17.1,pearson,two-sided,9,0.8652000242413403,[0.47 0.97],0.0025889179220925716,19.247,0.916262722113363
52,13.1.3,3.4.2,pearson,two-sided,9,0.920746378288658,[0.66 0.98],0.00042673369679661536,73.298,0.9810214661902779
53,13.1.3,1.5.3,pearson,two-sided,9,0.552003706965174,[-0.18  0.89],0.12332479716202106,1.156,0.35824194965725004
54,13.1.3,14.7.1,pearson,two-sided,9,-0.9268484745679244,[-0.98 -0.68],0.0003243549550642501,89.771,0.9853067959300417
55,13.1.3,17.13.1,pearson,two-sided,9,0.9372782196354755,[0.72 0.99],0.00019130064437969073,132.523,0.9912223710433781
56,13.1.3,3.2.1,pearson,two-sided,9,-0.914747822125887,[-0.98 -0.64],0.0005475826976215102,60.95,0.9762161782514425
57,13.1.3,1.5.2,pearson,two-sided,9,0.6461765937080605,[-0.03  0.92],0.06006840619755359,1.908,0.5048101528500593
58,13.1.3,9.1.2,pearson,two-sided,9,-0.9436004771200194,[-0.99 -0.75],0.0001327222366050571,173.452,0.9939626286106518
