,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
48,13.1.3,2.2.1,pearson,two-sided,9,-0.49505979632574215,[-0.87  0.25],0.17541364513261282,0.914,0.28651628695574
49,13.1.3,9.5.1,pearson,two-sided,9,0.48211876756713123,[-0.27  0.87],0.18874454626138895,0.872,0.2719271520809952
50,13.1.3,1.3.1,pearson,two-sided,9,-0.40171293555452314,[-0.84  0.36],0.28385302987121297,0.676,0.19438818753507162
51,13.1.3,12.a.1,pearson,two-sided,9,0.4736497102260254,[-0.28  0.87],0.19776819714109745,0.846,0.2627099993579875
52,13.1.3,7.a.1,pearson,two-sided,9,-0.468045980856569,[-0.86  0.28],0.20386886690522654,0.83,0.2567528611009825
53,13.1.3,17.17.1,pearson,two-sided,9,0.21428707899922514,[-0.52  0.77],0.5798192942828369,0.466,0.0857767998371038
54,13.1.3,3.4.2,pearson,two-sided,9,0.4424656600227667,[-0.31  0.86],0.23302633731654024,0.763,0.23095799116740298
55,13.1.3,1.5.3,pearson,two-sided,9,-0.67610555201368,[-0.92 -0.02],0.045568115850209374,2.325,0.5583976422978177
56,13.1.3,14.7.1,pearson,two-sided,9,0.23526404154049724,[-0.51  0.78],0.5422833465877788,0.479,0.09380747215502577
57,13.1.3,17.13.1,pearson,two-sided,9,-0.456672822875861,[-0.86  0.3 ],0.2165679940971417,0.798,0.2450039483827935
58,13.1.3,3.2.1,pearson,two-sided,9,0.43174274464123924,[-0.33  0.85],0.24588304875559044,0.738,0.22080987694356435
59,13.1.3,1.5.2,pearson,two-sided,9,-0.26297347067629456,[-0.79  0.49],0.49419544990671643,0.5,0.10583774546871157
60,13.1.3,9.1.2,pearson,two-sided,9,-0.5242602847545209,[-0.88  0.21],0.14736790989994383,1.025,0.3217366608015853
61,13.1.3,5.b.1,pearson,two-sided,9,0.44631070139203244,[-0.31  0.86],0.22850705797875298,0.772,0.2346912200379119
62,13.1.3,15.1.1,pearson,two-sided,9,0.38333093215701397,[-0.38  0.83],0.30849856012906357,0.644,0.179607765830954
63,13.1.3,16.2.2,pearson,two-sided,9,0.3898592552734599,[-0.37  0.84],0.29962553195850633,0.655,0.18473957886846862
64,13.1.3,3.2.2,pearson,two-sided,9,0.4336236917843121,[-0.32  0.85],0.2436008887922784,0.742,0.22256223459585875
65,13.1.3,17.4.1,pearson,two-sided,9,-0.23159294844165532,[-0.78  0.51],0.5487845095953767,0.477,0.09233666902421493
66,13.1.3,1.5.1,pearson,two-sided,9,-0.11553382684750536,[-0.72  0.59],0.7672387603938815,0.423,0.059210590088093415
67,13.1.3,3.3.5,pearson,two-sided,9,0.3739680467194793,[-0.39  0.83],0.3214527873510475,0.629,0.17246880323083302
68,13.1.3,2.1.2,pearson,two-sided,9,-0.3671565909545249,[-0.83  0.39],0.33104450341044545,0.618,0.1674360928877053
69,13.1.3,15.6.1,pearson,two-sided,9,0.4703789595774507,[-0.28  0.86],0.2013164355293428,0.836,0.2592193659544676
70,13.1.3,17.3.1,pearson,two-sided,9,-0.25511049368186345,[-0.79  0.49],0.5076601578510429,0.494,0.10225427259035269
71,13.1.3,1.2.1,pearson,two-sided,9,-0.44246566002276533,[-0.86  0.31],0.23302633731654196,0.763,0.23095799116740168
72,13.1.3,9.4.1,pearson,two-sided,9,0.47272149094481286,[-0.28  0.87],0.1987715840463344,0.843,0.26171549061939536
73,13.1.3,7.b.1,pearson,two-sided,9,0.4736497102260254,[-0.28  0.87],0.19776819714109745,0.846,0.2627099993579875
74,13.1.3,12.b.1,pearson,two-sided,9,-0.37785452274349013,[-0.83  0.38],0.3160430373677796,0.635,0.17540081060498686
75,13.1.3,2.1.1,pearson,two-sided,9,0.2990496173474953,[-0.46  0.8 ],0.43437596252753585,0.533,0.1240916401801519
76,13.1.3,17.1.1,pearson,two-sided,9,0.4252803589292634,[-0.33  0.85],0.253810790678907,0.723,0.21487823929789998
77,13.1.3,8.2.1,pearson,two-sided,9,0.07490655365914362,[-0.62  0.7 ],0.8481133450871523,0.413,0.053167547956693956
78,13.1.3,17.3.2,pearson,two-sided,9,-0.3929413573384125,[-0.84  0.37],0.2954823289459207,0.66,0.1872070178853202
79,13.1.3,10.c.1,pearson,two-sided,9,-0.6832083657498985,[-0.93 -0.03],0.0424951084084715,2.445,0.5715508978915023
80,13.1.3,3.3.3,pearson,two-sided,9,0.3251590823598016,[-0.43  0.81],0.3932127547064447,0.562,0.1392662426660253
81,13.1.3,2.5.1,pearson,two-sided,9,0.35558564573925155,[-0.4   0.82],0.3476577306035228,0.601,0.15919071664572085
82,13.1.3,1.4.1,pearson,two-sided,9,0.44462642471819563,[-0.31  0.86],0.23048075510755875,0.768,0.23304974216335814
83,13.1.3,3.3.2,pearson,two-sided,9,-0.4546000117228377,[-0.86  0.3 ],0.21892817163617728,0.793,0.2429113833102078
84,13.1.3,16.3.2,pearson,two-sided,9,-0.4424656600227718,[-0.86  0.31],0.23302633731653424,0.763,0.2309579911674079
85,13.1.3,2.5.2,pearson,two-sided,9,-0.5624053876432556,[-0.89  0.16],0.11495893628543566,1.212,0.3727092223364122
86,13.1.3,15.2.1,pearson,two-sided,9,0.0991590395655548,[-0.6   0.72],0.7996427305154804,0.418,0.05645201462965502
87,13.1.2,8.8.2,pearson,two-sided,9,-0.62790287571089,[-0.91  0.06],0.07020066128465469,1.708,0.4736695799974721
88,13.1.2,17.9.1,pearson,two-sided,9,-0.16127061706891369,[-0.75  0.56],0.6784996857909428,0.439,0.069320613890534
89,13.1.2,13.1.1,pearson,two-sided,9,-0.008632564808538135,[-0.67  0.66],0.9824149754596893,0.406,0.048906459204717964
90,13.1.2,3.b.1,pearson,two-sided,9,-0.7519583251030364,[-0.94 -0.18],0.019441274778027973,4.322,0.7052194291088176
