,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,6.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,7.1.1,7.3.1,3.9.3,7.1.2,17.8.1,11.5.1,4.5.1,6.2.1,11.5.2,12.4.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,14.b.1,2.c.1,14.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,9.4.1,7.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,1.4.1,3.3.2,16.3.2,3.3.1,15.2.1
1.a.2,-0.842385988,-0.633104364,-0.831661855,0.223533145,-0.562699654,0.847402477,0.897164835,0.894437812,0.857547151,-0.859483484,1,-0.852173895,0.798822007,-0.76279886,0.859483484,-0.848318673,-0.847153381,-0.562699654,-0.009736348,0.915114844,-0.517319271,-0.02472062,0.883984113,0.963004175,0.926370608,-0.937277264,0.881944322,-0.859483484,0.59398963,0.874377585,-0.482991088,0.865722225,-0.859483484,0.046550086,0.923622873,-0.84160873,-0.633104364,-0.713233664,0.521816401,-0.819977936,0.863123482,0.515711005,-0.842385988,-0.073749033,0.859483484,-0.454934501,-0.842385988,-0.457019361,0.838385095,-0.815998893,-0.879445619,0.536216379,-0.772086471,-0.859483484,-0.633104364,0.888804905,-0.806428513,0.872910704,-0.449728668,0.893782047,0.85948301,0.884729123,-0.860682105,0.34488126,-0.562699654,-0.649629253,0.86500431,-0.700429277,0.736886931,0.928830662,-0.879445619,-0.864573289,0.837945774,0.073518788,-0.747622649,-0.631081164,-0.62333445,-0.864161232,0.60724811,-0.859483484,0.867219203,-0.87137
4.2.2,0.841447988,0.763775254,0.934350082,0.108595401,0.608199719,-0.867892895,-0.901698863,-0.93626692,-0.829747058,0.950357271,-0.852173895,1,-0.878077784,0.665864976,-0.950357271,0.966596473,0.946636416,0.608199719,-0.211211101,-0.893431957,0.730850354,-0.230236801,-0.91964207,-0.801870207,-0.887504202,0.868323776,-0.946926357,0.950357271,-0.579270008,-0.944411275,0.396397821,-0.87949984,0.950357271,-0.432102504,-0.832695115,0.937484518,0.763775254,0.869649058,-0.829659074,0.943823664,-0.928256358,-0.360055357,0.841447988,0.136968925,-0.950357271,0.416703689,0.841447988,0.655870507,-0.732323211,0.952677712,0.89323367,-0.546957805,0.733915892,0.950357271,0.763775254,-0.956865481,0.807970516,-0.9448076,0.559565591,-0.908507,-0.95035765,-0.891603279,0.950100816,-0.274575194,0.608199719,0.9162109,-0.926532083,0.837895164,-0.887126194,-0.883849664,0.89323367,0.96173255,-0.815744067,0.041794992,0.920354457,0.560071501,0.849619182,0.917542634,-0.387630156,0.950357271,-0.950478031,0.934742588
7.1.1,-0.922031031,-0.77183582,-0.927936746,0.011357245,-0.576942344,0.893998175,0.89305189,0.868782852,0.647509647,-0.940965816,0.798822007,-0.878077784,1,-0.879164329,0.940965816,-0.926671892,-0.953299269,-0.576942344,0.217596754,0.799823806,-0.620974775,-0.017935703,0.910157387,0.83756331,0.945201956,-0.943997719,0.924450292,-0.940965816,0.625710905,0.939243606,-0.550227197,0.956834592,-0.940965816,0.493563585,0.770506519,-0.937884826,-0.77183582,-0.931552962,0.771399108,-0.961956289,0.94865667,0.223856075,-0.922031031,0.184982991,0.940965816,-0.447943283,-0.922031031,-0.684510617,0.731822504,-0.942499861,-0.935750784,0.574786617,-0.808757474,-0.940965816,-0.77183582,0.936383651,-0.868247999,0.932133102,-0.502200397,0.917233937,0.940965723,0.91782593,-0.945894633,-0.027756195,-0.576942344,-0.873772374,0.93651631,-0.881958707,0.951109047,0.925556577,-0.935750784,-0.92051136,0.904370537,-0.052034423,-0.940844094,-0.654854153,-0.878679302,-0.930700848,0.389870595,-0.940965816,0.831233185,-0.90874205
7.3.1,0.901215627,0.638687858,0.780043003,-0.145386862,0.487322187,-0.874380856,-0.828242799,-0.792680446,-0.613923964,0.823201729,-0.76279886,0.665864976,-0.879164329,1,-0.823201729,0.790403177,0.833278342,0.487322187,0.053156296,-0.77347967,0.44962737,0.201286675,-0.859642213,-0.843535403,-0.879724625,0.874883841,-0.81354486,0.823201729,-0.652965292,-0.832612158,0.734032643,-0.913649597,0.823201729,-0.421656076,-0.81620652,0.835237648,0.638687858,0.838818858,-0.493673457,0.835224216,-0.855943282,-0.284168159,0.901215627,-0.38620754,-0.823201729,0.377810163,0.901215627,0.509123894,-0.796903467,0.809508091,0.888560578,-0.370677014,0.777853446,0.823201729,0.638687858,-0.820410281,0.840149394,-0.822475521,0.435760964,-0.874449332,-0.823201425,-0.888263359,0.830769378,-0.059836359,0.487322187,0.62987204,-0.84270438,0.758986435,-0.79801011,-0.889975745,0.888560578,0.789753675,-0.725455999,-0.142138696,0.795382876,0.606917722,0.774765828,0.811609536,-0.594202184,0.823201729,-0.702499086,0.822348609
3.9.3,-0.920746378,-0.763959249,-0.986471475,0.070635092,-0.612724107,0.969087424,0.974931124,0.958082296,0.843272075,-1,0.859483484,-0.950357271,0.940965816,-0.823201729,1,-0.996822663,-0.998244325,-0.612724107,0.2260907,0.938699851,-0.67962022,0.235053889,0.962379013,0.866759874,0.938847134,-0.930260509,0.990017227,-1,0.655841166,0.999163869,-0.486759157,0.97849211,-1,0.45963856,0.854586569,-0.996034242,-0.763959249,-0.932990361,0.843670379,-0.986104842,0.997402853,0.466354777,-0.920746378,-0.041079297,1,-0.463639546,-0.920746378,-0.685360535,0.86555373,-0.990333646,-0.957977327,0.611547768,-0.768450635,-1,-0.763959249,0.997669049,-0.897863685,0.998343653,-0.529018415,0.969909522,1,0.969495461,-0.99959331,0.116263965,-0.612724107,-0.900586735,0.99091042,-0.913962286,0.880515542,0.951270151,-0.957977327,-0.983517664,0.804917979,-0.079037572,-0.953587973,-0.673537836,-0.903807379,-0.973396462,0.559016994,-1,0.967150363,-0.966764621
7.1.2,0.905319526,0.769113485,0.983643765,-0.022229574,0.613892326,-0.959136297,-0.962501928,-0.96527117,-0.848773811,0.996822663,-0.848318673,0.966596473,-0.926671892,0.790403177,-0.996822663,1,0.99506346,0.613892326,-0.210780087,-0.937015512,0.706620365,-0.255029344,-0.963927608,-0.84225847,-0.919734506,0.909713612,-0.984969435,0.996822663,-0.641617871,-0.99377372,0.461653233,-0.960580549,0.996822663,-0.489468347,-0.855403547,0.992202645,0.769113485,0.935148031,-0.852796377,0.986493076,-0.988952829,-0.445890015,0.905319526,0.065152299,-0.996822663,0.446273989,0.905319526,0.690096546,-0.841867442,0.992417147,0.945342236,-0.579085345,0.758798865,0.996822663,0.769113485,-0.994499118,0.882646332,-0.993048962,0.546542692,-0.958473715,-0.996822785,-0.955966425,0.996385699,-0.163970748,0.613892326,0.919642141,-0.983556266,0.911101159,-0.884574455,-0.933414058,0.945342236,0.986704663,-0.790686128,0.053730018,0.958299815,0.649794643,0.915517476,0.968064397,-0.525527918,0.996822663,-0.97259112,0.964154773
17.8.1,0.918706742,0.780225215,0.988773801,-0.050933255,0.611411727,-0.966488448,-0.968609902,-0.956447853,-0.813214538,0.998244325,-0.847153381,0.946636416,-0.953299269,0.833278342,-0.998244325,0.99506346,1,0.611411727,-0.216955927,-0.925312675,0.689487556,-0.207377499,-0.965784045,-0.852928153,-0.935006487,0.931126901,-0.985424898,0.998244325,-0.66177575,-0.996226844,0.481851139,-0.979178809,0.998244325,-0.489893376,-0.84594389,0.996646616,0.780225215,0.948561121,-0.843450617,0.991604407,-0.996122475,-0.420952616,0.918706742,-0.00427006,-0.998244325,0.457421813,0.918706742,0.685052202,-0.84412717,0.990656561,0.961690279,-0.592862821,0.781001892,0.998244325,0.780225215,-0.993894231,0.899562009,-0.99499955,0.536238048,-0.962373477,-0.998244396,-0.964206612,0.999226674,-0.104086764,0.611411727,0.9160191,-0.98598912,0.914049501,-0.894988184,-0.943468746,0.961690279,0.985956183,-0.814633579,0.053677508,0.959883219,0.661658279,0.918663773,0.972702539,-0.537587716,0.998244325,-0.954450491,0.956975173
11.5.1,0.721151947,0.095110448,0.604615575,-0.011746878,1,-0.532813626,-0.599903331,-0.599608614,-0.525010736,0.612724107,-0.562699654,0.608199719,-0.576942344,0.487322187,-0.612724107,0.613892326,0.611411727,1,-0.120794435,-0.614385312,0.900184418,-0.088495136,-0.597777598,-0.545497502,-0.588052163,0.583708626,-0.536925714,0.612724107,0.05819394,-0.612374456,0.070979345,-0.591947819,0.612724107,-0.245485653,-0.460991482,0.608596482,0.095110448,0.67052763,-0.503068511,0.648282366,-0.60710921,-0.262790887,0.721151947,0.028594705,-0.612724107,0.940687859,0.721151947,0.789351059,-0.512380183,0.652446893,0.595614795,-0.277898194,0.875393934,0.612724107,0.095110448,-0.615900446,0.852030369,-0.612776021,0.949031336,-0.596586041,-0.612723653,-0.507390203,0.613431812,-0.128207065,1,0.558642172,-0.601813237,0.648903848,-0.551832487,-0.587815921,0.595614795,0.615121707,-0.52632805,0.020158048,0.69051399,0.385801033,0.536443413,0.598454415,-0.323862163,0.612724107,-0.601204281,0.60574189
4.5.1,-0.064959352,-0.197674604,-0.257291245,-0.03706326,-0.120794435,0.078717131,0.246372032,-0.028252105,0.056232955,-0.2260907,-0.009736348,-0.211211101,0.217596754,0.053156296,0.2260907,-0.210780087,-0.216955927,-0.120794435,1,0.085262156,-0.100082785,0.624573308,-0.037688254,0.029019036,0.184529111,-0.104605404,0.254559295,-0.2260907,0.182993278,0.216326024,0.060042125,0.186238317,-0.2260907,-0.037220517,-0.221270266,-0.235491641,-0.197674604,-0.089836603,0.626309988,-0.161392467,0.215245479,0.246866097,-0.064959352,-0.227089519,0.2260907,-0.238221467,-0.064959352,-0.180597787,0.136010336,-0.204854647,-0.191148399,0.775640173,0.04966267,-0.2260907,-0.197674604,0.198434103,-0.143187334,0.242273336,0.061645526,0.195019962,0.22609147,0.179662977,-0.215518277,-0.690148999,-0.120794435,-0.258740773,0.18469139,-0.145474791,0.089374357,0.13047239,-0.191148399,-0.197391849,0.131968761,-0.916774165,-0.159183587,-0.0055749,-0.074059194,-0.118506547,0.134079071,-0.2260907,0.249671273,-0.163475545
6.2.1,-0.860786436,-0.668834058,-0.916962975,0.161449432,-0.614385312,0.944276466,0.968690547,0.956596867,0.937373526,-0.938699851,0.915114844,-0.893431957,0.799823806,-0.77347967,0.938699851,-0.937015512,-0.925312675,-0.614385312,0.085262156,1,-0.646151599,0.268414052,0.938139859,0.883538876,0.885723493,-0.877947961,0.944619018,-0.938699851,0.64890434,0.945379362,-0.45585406,0.918510398,-0.938699851,0.280993587,0.919193628,-0.938349867,-0.668834058,-0.82665288,0.700584966,-0.893245114,0.936196152,0.626499179,-0.860786436,-0.1165273,0.938699851,-0.467981542,-0.860786436,-0.541062876,0.929475132,-0.906666925,-0.92355622,0.530578471,-0.743552637,-0.938699851,-0.668834058,0.947192197,-0.87549933,0.950081337,-0.530465339,0.943569012,0.938699901,0.940232284,-0.937255569,0.318082731,-0.614385312,-0.765895708,0.928956046,-0.796665934,0.723489178,0.919108827,-0.92355622,-0.940410586,0.678363611,0.021883677,-0.83406903,-0.599598206,-0.783811337,-0.902584872,0.737600943,-0.938699851,0.971862632,-0.918858219
11.5.2,0.668811515,0.341560189,0.687967658,0.267924984,0.900184418,-0.58082472,-0.622731259,-0.694552435,-0.518132699,0.67962022,-0.517319271,0.730850354,-0.620974775,0.44962737,-0.67962022,0.706620365,0.689487556,0.900184418,-0.100082785,-0.646151599,1,-0.184291817,-0.68634995,-0.437549571,-0.555024837,0.550158084,-0.606803145,0.67962022,-0.107394807,-0.664623708,0.040217375,-0.602954908,0.67962022,-0.534666283,-0.50749804,0.689319766,0.341560189,0.787173728,-0.645419527,0.734075887,-0.653305931,-0.095470674,0.668811515,-0.037015824,-0.67962022,0.724287888,0.668811515,0.743179013,-0.431629653,0.731873667,0.646386852,-0.168761105,0.827997576,0.67962022,0.341560189,-0.66969889,0.801610052,-0.668434405,0.940757975,-0.608580846,-0.679620931,-0.541566498,0.684688314,-0.26570011,0.900184418,0.770237025,-0.631094881,0.669956692,-0.658679067,-0.5505912,0.646386852,0.725631,-0.507835977,-0.125982756,0.773404679,0.251552375,0.719788582,0.635122146,-0.2231734,0.67962022,-0.675331693,0.630188617
12.4.2,0.022595589,-0.092529686,-0.276428914,0.111398265,-0.088495136,0.197566655,0.260200635,0.140696001,0.364517247,-0.235053889,-0.02472062,-0.230236801,-0.017935703,0.201286675,0.235053889,-0.255029344,-0.207377499,-0.088495136,0.624573308,0.268414052,-0.184291817,1,0.057593377,-0.049400966,-0.007053468,0.046437806,0.242064199,-0.235053889,0.125981488,0.224260646,0.285392458,0.118882909,-0.235053889,0.072871323,-0.055185409,-0.24106808,-0.092529686,-0.088186,0.581131854,-0.141852081,0.205051152,0.600806272,0.022595589,-0.628562794,0.235053889,-0.110878298,0.022595589,-0.168815322,0.299207691,-0.213904106,-0.087913808,0.48511005,0.196401683,-0.235053889,-0.092529686,0.209163513,-0.097698709,0.249836289,0.015713255,0.147544456,0.235054446,0.152459845,-0.216826912,-0.211919681,-0.088495136,-0.263510163,0.199999011,-0.204218342,-0.118515506,0.04291076,-0.087913808,-0.215616078,-0.214715379,-0.590824504,-0.136413907,-0.075997028,-0.169390033,-0.155618182,0.344082097,-0.235053889,0.390060057,-0.158518367
