,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,6.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,7.1.1,7.3.1,3.9.3,7.1.2,17.8.1,11.5.1,4.5.1,6.2.1,11.5.2,12.4.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,14.b.1,2.c.1,14.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,9.4.1,7.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,1.4.1,3.3.2,16.3.2,3.3.1,15.2.1
4.3.1,-0.914467861,-0.756318985,-0.945298017,0.052869356,-0.597777598,0.966125479,0.935229826,0.990846687,0.827353136,-0.962379013,0.883984113,-0.91964207,0.910157387,-0.859642213,0.962379013,-0.963927608,-0.965784045,-0.597777598,-0.037688254,0.938139859,-0.68634995,0.057593377,1,0.867798055,0.909932992,-0.925273634,0.946372002,-0.962379013,0.646002123,0.963156626,-0.502901374,0.950890156,-0.962379013,0.489470041,0.933153466,-0.96031551,-0.756318985,-0.93996346,0.696206809,-0.967767724,0.961747753,0.375743225,-0.914467861,0.065362702,0.962379013,-0.406493864,-0.914467861,-0.627186989,0.832178031,-0.955898074,-0.942797123,0.40615283,-0.816376573,-0.962379013,-0.756318985,0.966102663,-0.884458526,0.957116478,-0.5686926,0.93734992,0.962379008,0.94276339,-0.966530691,0.310790929,-0.597777598,-0.867929564,0.955844307,-0.877393372,0.881919578,0.93081167,-0.942797123,-0.964953969,0.794610473,0.19057848,-0.92976211,-0.648420438,-0.909729664,-0.95754606,0.538640639,-0.962379013,0.921082292,-0.934047676
7.2.1,-0.907717695,-0.57313693,-0.822489995,0.317377831,-0.545497502,0.875693255,0.892895264,0.859836283,0.846561705,-0.866759874,0.963004175,-0.801870207,0.83756331,-0.843535403,0.866759874,-0.84225847,-0.852928153,-0.545497502,0.029019036,0.883538876,-0.437549571,-0.049400966,0.867798055,1,0.956255204,-0.95621084,0.88003713,-0.866759874,0.563006842,0.884728685,-0.596505534,0.905531196,-0.866759874,0.075137718,0.897486725,-0.84334634,-0.57313693,-0.723383824,0.524778145,-0.830602753,0.883705886,0.561776197,-0.907717695,-0.065751907,0.866759874,-0.476610725,-0.907717695,-0.543988988,0.891640279,-0.831288454,-0.87011333,0.589341104,-0.751089522,-0.866759874,-0.57313693,0.892537753,-0.825816298,0.876785991,-0.404682849,0.918452645,0.866758807,0.910268058,-0.86501528,0.195222087,-0.545497502,-0.602246388,0.899879305,-0.77395453,0.756118834,0.96963527,-0.87011333,-0.826548332,0.840941723,-0.028048411,-0.775899629,-0.755688125,-0.63797626,-0.885738965,0.613093451,-0.866759874,0.83637876,-0.903941728
2.a.1,-0.94402633,-0.711257193,-0.899367513,0.107156296,-0.588052163,0.902192385,0.936798338,0.885843723,0.791229523,-0.938847134,0.926370608,-0.887504202,0.945201956,-0.879724625,0.938847134,-0.919734506,-0.935006487,-0.588052163,0.184529111,0.885723493,-0.555024837,-0.007053468,0.909932992,0.956255204,1,-0.976861328,0.94812617,-0.938847134,0.643017278,0.946924888,-0.633578976,0.962242345,-0.938847134,0.268987764,0.868365748,-0.928127528,-0.711257193,-0.839466842,0.689335277,-0.921713019,0.948686241,0.419301624,-0.94402633,0.06111867,0.938847134,-0.480342547,-0.94402633,-0.605676501,0.844497279,-0.918845155,-0.95283884,0.633266323,-0.802446229,-0.938847134,-0.711257193,0.950670998,-0.875837474,0.942835609,-0.474672261,0.971633292,0.938846826,0.960725174,-0.940184343,0.103368738,-0.588052163,-0.756838282,0.947026664,-0.824540147,0.88279378,0.989768363,-0.95283884,-0.913559634,0.895702458,-0.093699484,-0.878766493,-0.668387704,-0.764408892,-0.918796133,0.544404992,-0.938847134,0.881041822,-0.953009191
6.4.2,0.923644307,0.704637604,0.917675456,-0.230767719,0.583708626,-0.914024646,-0.930557447,-0.9060445,-0.76523011,0.930260509,-0.937277264,0.868323776,-0.943997719,0.874883841,-0.930260509,0.909713612,0.931126901,0.583708626,-0.104605404,-0.877947961,0.550158084,0.046437806,-0.925273634,-0.95621084,-0.976861328,1,-0.929414773,0.930260509,-0.618807949,-0.940058137,0.514026407,-0.95745085,0.930260509,-0.237546445,-0.864098519,0.916063866,0.704637604,0.847392551,-0.651610362,0.919672608,-0.942772633,-0.410872656,0.923644307,-0.053966694,-0.930260509,0.49169534,0.923644307,0.605253101,-0.833832501,0.902528201,0.933686094,-0.610866556,0.823789838,0.930260509,0.704637604,-0.943705194,0.877405456,-0.933541516,0.461616184,-0.929980438,-0.930259841,-0.931643026,0.933041689,-0.093204586,0.583708626,0.769070701,-0.939796106,0.839841998,-0.860405918,-0.970168818,0.933686094,0.911026933,-0.926942415,0.003556137,0.868061157,0.738624508,0.763585555,0.948262288,-0.531587688,0.930260509,-0.86350689,0.910535166
6.6.1,-0.888938168,-0.810453125,-0.972100238,0.064934233,-0.536925714,0.958165732,0.981956052,0.944148756,0.853540923,-0.990017227,0.881944322,-0.946926357,0.924450292,-0.81354486,0.990017227,-0.984969435,-0.985424898,-0.536925714,0.254559295,0.944619018,-0.606803145,0.242064199,0.946372002,0.88003713,0.94812617,-0.929414773,1,-0.990017227,0.733106363,0.990896903,-0.530121968,0.970908751,-0.990017227,0.393781307,0.868738185,-0.987908216,-0.810453125,-0.887213053,0.829389327,-0.959622283,0.987371502,0.491634103,-0.888938168,-0.041173079,0.990017227,-0.390386949,-0.888938168,-0.589979211,0.873673116,-0.966510538,-0.965996866,0.651070274,-0.718295679,-0.990017227,-0.810453125,0.990383808,-0.8558509,0.993221767,-0.443095765,0.976739284,0.990017432,0.983316506,-0.989568126,0.127234784,-0.536925714,-0.870731386,0.977127567,-0.857467747,0.857031779,0.954914216,-0.965996866,-0.979519065,0.800892529,-0.110447111,-0.909646527,-0.632220458,-0.860578895,-0.949712753,0.598430963,-0.990017227,0.970608251,-0.961311907
3.8.1,0.920746378,0.763959249,0.986471475,-0.070635092,0.612724107,-0.969087424,-0.974931124,-0.958082296,-0.843272075,1,-0.859483484,0.950357271,-0.940965816,0.823201729,-1,0.996822663,0.998244325,0.612724107,-0.2260907,-0.938699851,0.67962022,-0.235053889,-0.962379013,-0.866759874,-0.938847134,0.930260509,-0.990017227,1,-0.655841166,-0.999163869,0.486759157,-0.97849211,1,-0.45963856,-0.854586569,0.996034242,0.763959249,0.932990361,-0.843670379,0.986104842,-0.997402853,-0.466354777,0.920746378,0.041079297,-1,0.463639546,0.920746378,0.685360535,-0.86555373,0.990333646,0.957977327,-0.611547768,0.768450635,1,0.763959249,-0.997669049,0.897863685,-0.998343653,0.529018415,-0.969909522,-1,-0.969495461,0.99959331,-0.116263965,0.612724107,0.900586735,-0.99091042,0.913962286,-0.880515542,-0.951270151,0.957977327,0.983517664,-0.804917979,0.079037572,0.953587973,0.673537836,0.903807379,0.973396462,-0.559016994,1,-0.967150363,0.966764621
10.5.1,-0.459667635,-0.911078112,-0.650279538,-0.033649968,0.05819394,0.68493548,0.709670539,0.619028931,0.496328392,-0.655841166,0.59398963,-0.579270008,0.625710905,-0.652965292,0.655841166,-0.641617871,-0.66177575,0.05819394,0.182993278,0.64890434,-0.107394807,0.125981488,0.646002123,0.563006842,0.643017278,-0.618807949,0.733106363,-0.655841166,1,0.656793214,-0.585121984,0.68186397,-0.655841166,0.278725605,0.654073125,-0.6900325,-0.911078112,-0.548819294,0.521602339,-0.595592025,0.663792185,0.269940201,-0.459667635,0.287169726,0.655841166,0.195185464,-0.459667635,0.063478391,0.604268721,-0.582883994,-0.748634851,0.460138913,-0.288438865,-0.655841166,-0.911078112,0.644741357,-0.421209587,0.670601049,0.097590062,0.682301959,0.655842762,0.757453613,-0.663454637,0.065287297,0.05819394,-0.569674116,0.613354167,-0.374498605,0.532009767,0.629576724,-0.748634851,-0.691904066,0.47398008,0.00245671,-0.477230653,-0.203159555,-0.574435118,-0.565452383,0.608024451,-0.655841166,0.638238288,-0.586926764
6.4.1,-0.926578823,-0.754158681,-0.984346862,0.101756235,-0.612374456,0.973302959,0.9800358,0.959071427,0.853356731,-0.999163869,0.874377585,-0.944411275,0.939243606,-0.832612158,0.999163869,-0.99377372,-0.996226844,-0.612374456,0.216326024,0.945379362,-0.664623708,0.224260646,0.963156626,0.884728685,0.946924888,-0.940058137,0.990896903,-0.999163869,0.656793214,1,-0.495036508,0.982888223,-0.999163869,0.430369337,0.864106995,-0.994061714,-0.754158681,-0.924353918,0.828105336,-0.981866145,0.998504941,0.48828504,-0.926578823,-0.046950797,0.999163869,-0.470886762,-0.926578823,-0.678782963,0.881217717,-0.986137018,-0.959892549,0.620231032,-0.771609056,-0.999163869,-0.754158681,0.998617227,-0.901923166,0.998921725,-0.520942902,0.974453455,0.999163774,0.974345208,-0.998502962,0.117268439,-0.612374456,-0.88392223,0.993299373,-0.911858089,0.872333399,0.960693916,-0.959892549,-0.98016325,0.809888176,-0.079999664,-0.946264159,-0.688964844,-0.890471163,-0.975956756,0.578678646,-0.999163869,0.967434664,-0.968913955
10.7.3,0.611843473,0.481028589,0.360459404,0.187704817,0.070979345,-0.519756937,-0.478066574,-0.427534015,-0.428226059,0.486759157,-0.482991088,0.396397821,-0.550227197,0.734032643,-0.486759157,0.461653233,0.481851139,0.070979345,0.060042125,-0.45585406,0.040217375,0.285392458,-0.502901374,-0.596505534,-0.633578976,0.514026407,-0.530121968,0.486759157,-0.585121984,-0.495036508,1,-0.575076068,0.486759157,-0.311983627,-0.621372058,0.495293955,0.481028589,0.437538576,-0.216150754,0.479995562,-0.513481872,-0.134095267,0.611843473,-0.369775383,-0.486759157,-0.055379076,0.611843473,0.168102567,-0.521388654,0.488595065,0.579240817,-0.177320783,0.336379854,0.486759157,0.481028589,-0.491848963,0.400829911,-0.483949423,0.084267718,-0.647911312,-0.486759557,-0.651476307,0.489875566,-0.16554759,0.070979345,0.245519819,-0.52486366,0.380898258,-0.582133935,-0.63742046,0.579240817,0.432396741,-0.40819984,-0.022291281,0.460056609,0.260178961,0.444904108,0.411898372,-0.365328361,0.486759157,-0.397132681,0.620857825
11.1.1,-0.947332057,-0.739052288,-0.958643222,0.15597837,-0.591947819,0.97458452,0.972491648,0.926262963,0.798859635,-0.97849211,0.865722225,-0.87949984,0.956834592,-0.913649597,0.97849211,-0.960580549,-0.979178809,-0.591947819,0.186238317,0.918510398,-0.602954908,0.118882909,0.950890156,0.905531196,0.962242345,-0.95745085,0.970908751,-0.97849211,0.68186397,0.982888223,-0.575076068,1,-0.97849211,0.414771938,0.857032131,-0.97866694,-0.739052288,-0.920776814,0.765438312,-0.964895807,0.990387854,0.462910596,-0.947332057,0.079221518,0.97849211,-0.474316368,-0.947332057,-0.648474181,0.894031825,-0.960368991,-0.971172506,0.609792659,-0.792874509,-0.97849211,-0.739052288,0.976211292,-0.916742943,0.979964659,-0.492070123,0.975747135,0.978491875,0.981448161,-0.979822907,0.04502763,-0.591947819,-0.828046513,0.980920191,-0.89545428,0.866177218,0.97310432,-0.971172506,-0.950139289,0.816253262,-0.063184347,-0.924094781,-0.700453409,-0.870893387,-0.958468842,0.619926214,-0.97849211,0.91589179,-0.950248585
14.b.1,0.920746378,0.763959249,0.986471475,-0.070635092,0.612724107,-0.969087424,-0.974931124,-0.958082296,-0.843272075,1,-0.859483484,0.950357271,-0.940965816,0.823201729,-1,0.996822663,0.998244325,0.612724107,-0.2260907,-0.938699851,0.67962022,-0.235053889,-0.962379013,-0.866759874,-0.938847134,0.930260509,-0.990017227,1,-0.655841166,-0.999163869,0.486759157,-0.97849211,1,-0.45963856,-0.854586569,0.996034242,0.763959249,0.932990361,-0.843670379,0.986104842,-0.997402853,-0.466354777,0.920746378,0.041079297,-1,0.463639546,0.920746378,0.685360535,-0.86555373,0.990333646,0.957977327,-0.611547768,0.768450635,1,0.763959249,-0.997669049,0.897863685,-0.998343653,0.529018415,-0.969909522,-1,-0.969495461,0.99959331,-0.116263965,0.612724107,0.900586735,-0.99091042,0.913962286,-0.880515542,-0.951270151,0.957977327,0.983517664,-0.804917979,0.079037572,0.953587973,0.673537836,0.903807379,0.973396462,-0.559016994,1,-0.967150363,0.966764621
2.c.1,-0.418462135,-0.476841165,-0.444103472,-0.519264774,-0.245485653,0.445429948,0.30966318,0.439734355,0.158106307,-0.45963856,0.046550086,-0.432102504,0.493563585,-0.421656076,0.45963856,-0.489468347,-0.489893376,-0.245485653,-0.037220517,0.280993587,-0.534666283,0.072871323,0.489470041,0.075137718,0.268987764,-0.237546445,0.393781307,-0.45963856,0.278725605,0.430369337,-0.311983627,0.414771938,-0.45963856,1,0.298293263,-0.486893207,-0.476841165,-0.683374655,0.522375085,-0.556848103,0.444916415,-0.279102998,-0.418462135,0.340773509,0.45963856,0.001349296,-0.418462135,-0.496860374,0.155627911,-0.543269025,-0.401913748,-0.155637006,-0.334918261,-0.45963856,-0.476841165,0.417240193,-0.375916632,0.419275461,-0.423894908,0.375661171,0.459639867,0.384637504,-0.467661114,0.094517716,-0.245485653,-0.657622644,0.431413692,-0.544365975,0.608386966,0.287515171,-0.401913748,-0.462024591,0.196640584,0.253374984,-0.624018966,-0.118773077,-0.785047594,-0.411493232,-0.085648589,-0.45963856,0.347967204,-0.422599472
14.1.1,-0.84350853,-0.681065764,-0.802395538,0.078159379,-0.460991482,0.890360619,0.85936496,0.932907891,0.873294052,-0.854586569,0.923622873,-0.832695115,0.770506519,-0.81620652,0.854586569,-0.855403547,-0.84594389,-0.460991482,-0.221270266,0.919193628,-0.50749804,-0.055185409,0.933153466,0.897486725,0.868365748,-0.864098519,0.868738185,-0.854586569,0.654073125,0.864106995,-0.621372058,0.857032131,-0.854586569,0.298293263,1,-0.846117668,-0.681065764,-0.770421166,0.477124883,-0.83547908,0.856894485,0.443216545,-0.84350853,0.022617572,0.854586569,-0.26538699,-0.84350853,-0.433793325,0.833524958,-0.832305699,-0.864969615,0.297472651,-0.711195654,-0.854586569,-0.681065764,0.87583621,-0.760472823,0.856623097,-0.442581747,0.893850481,0.854586473,0.899510793,-0.857547671,0.523854369,-0.460991482,-0.665921849,0.865127557,-0.721626596,0.76743116,0.901181773,-0.864969615,-0.857735299,0.708865499,0.289020587,-0.777259269,-0.584619167,-0.743504979,-0.84889684,0.591258939,-0.854586569,0.851972283,-0.88722678
12.c.1,0.908322519,0.784953668,0.984745764,-0.039217079,0.608596482,-0.967617523,-0.978225165,-0.951113083,-0.820829499,0.996034242,-0.84160873,0.937484518,-0.937884826,0.835237648,-0.996034242,0.992202645,0.996646616,0.608596482,-0.235491641,-0.938349867,0.689319766,-0.24106808,-0.96031551,-0.84334634,-0.928127528,0.916063866,-0.987908216,0.996034242,-0.6900325,-0.994061714,0.495293955,-0.97866694,0.996034242,-0.486893207,-0.846117668,1,0.784953668,0.942139244,-0.847574082,0.982194189,-0.994234196,-0.445333937,0.908322519,-0.02000065,-0.996034242,0.453365778,0.908322519,0.653110597,-0.859664233,0.98420629,0.971059278,-0.595819741,0.771893307,0.996034242,0.784953668,-0.989618304,0.902682972,-0.995744605,0.534480092,-0.968384617,-0.996034503,-0.970943929,0.997102923,-0.107026599,0.608596482,0.905695632,-0.978870117,0.891881329,-0.871151285,-0.938069065,0.971059278,0.988046544,-0.778535006,0.066128816,0.945014754,0.62170774,0.912636808,0.955356175,-0.588628122,0.996034242,-0.961942769,0.95214027
11.b.1,0.552003707,1,0.773903577,0.207841426,0.095110448,-0.728805022,-0.742855327,-0.734113282,-0.500209393,0.763959249,-0.633104364,0.763775254,-0.77183582,0.638687858,-0.763959249,0.769113485,0.780225215,0.095110448,-0.197674604,-0.668834058,0.341560189,-0.092529686,-0.756318985,-0.57313693,-0.711257193,0.704637604,-0.810453125,0.763959249,-0.911078112,-0.754158681,0.481028589,-0.739052288,0.763959249,-0.476841165,-0.681065764,0.784953668,1,0.714357272,-0.680494965,0.750367486,-0.753927562,-0.085143841,0.552003707,-0.249334898,-0.763959249,-0.102705315,0.552003707,0.17174234,-0.521305044,0.727482026,0.802464226,-0.444909581,0.431115594,0.763959249,1,-0.752365278,0.50152093,-0.761445495,0.093749193,-0.725387695,-0.763960861,-0.782917175,0.773459655,-0.112325429,0.095110448,0.803814765,-0.710100301,0.538012537,-0.749466359,-0.678919151,0.802464226,0.81301906,-0.664036121,-0.060889054,0.668274212,0.275469196,0.745785415,0.698567211,-0.356398215,0.763959249,-0.716843848,0.68206125
2.2.2,0.89832356,0.714357272,0.928909136,0.074354582,0.67052763,-0.909010243,-0.870200618,-0.909242311,-0.665071821,0.932990361,-0.713233664,0.869649058,-0.931552962,0.838818858,-0.932990361,0.935148031,0.948561121,0.67052763,-0.089836603,-0.82665288,0.787173728,-0.088186,-0.93996346,-0.723383824,-0.839466842,0.847392551,-0.887213053,0.932990361,-0.548819294,-0.924353918,0.437538576,-0.920776814,0.932990361,-0.683374655,-0.770421166,0.942139244,0.714357272,1,-0.783066679,0.972776551,-0.932033314,-0.20801671,0.89832356,-0.18929608,-0.932990361,0.483609177,0.89832356,0.743661963,-0.71605631,0.955492333,0.905503157,-0.376071662,0.837240493,0.932990361,0.714357272,-0.917826663,0.903084992,-0.91836911,0.666823876,-0.876532497,-0.932990626,-0.872623522,0.939023456,-0.115321809,0.67052763,0.927798504,-0.914726046,0.909195964,-0.909410647,-0.847864865,0.905503157,0.930999739,-0.747595992,-0.118433833,0.971017563,0.579285858,0.973726155,0.913141651,-0.4105162,0.932990361,-0.846133791,0.877244395
9.5.2,-0.659111369,-0.680494965,-0.862564321,-0.099547774,-0.503068511,0.740860723,0.790466178,0.707885501,0.620152662,-0.843670379,0.521816401,-0.829659074,0.771399108,-0.493673457,0.843670379,-0.852796377,-0.843450617,-0.503068511,0.626309988,0.700584966,-0.645419527,0.581131854,0.696206809,0.524778145,0.689335277,-0.651610362,0.829389327,-0.843670379,0.521602339,0.828105336,-0.216150754,0.765438312,-0.843670379,0.522375085,0.477124883,-0.847574082,-0.680494965,-0.783066679,1,-0.82471968,0.82266741,0.372281383,-0.659111369,-0.183445229,0.843670379,-0.394949238,-0.659111369,-0.657160485,0.619814654,-0.850264459,-0.748103133,0.714232391,-0.496296207,-0.843670379,-0.680494965,0.818445945,-0.690603553,0.838819175,-0.411338687,0.754205776,0.843671074,0.749344905,-0.838317968,-0.194344535,-0.503068511,-0.888931933,0.803990098,-0.783566214,0.71010772,0.68321415,-0.748103133,-0.828344004,0.581056382,-0.429058717,-0.823506223,-0.456146417,-0.799664579,-0.772262213,0.352619286,-0.843670379,0.835732794,-0.766566736
3.4.1,0.934820085,0.750367486,0.972764298,0.004030853,0.648282366,-0.948999639,-0.933872172,-0.952282921,-0.778472598,0.986104842,-0.819977936,0.943823664,-0.961956289,0.835224216,-0.986104842,0.986493076,0.991604407,0.648282366,-0.161392467,-0.893245114,0.734075887,-0.141852081,-0.967767724,-0.830602753,-0.921713019,0.919672608,-0.959622283,0.986104842,-0.595592025,-0.981866145,0.479995562,-0.964895807,0.986104842,-0.556848103,-0.83547908,0.982194189,0.750367486,0.972776551,-0.82471968,1,-0.982799491,-0.338592254,0.934820085,-0.039017937,-0.986104842,0.478457803,0.934820085,0.74298718,-0.797126405,0.994658708,0.942158349,-0.518988467,0.814386225,0.986104842,0.750367486,-0.981323233,0.905281292,-0.976535172,0.598124743,-0.943998862,-0.986104842,-0.938374814,0.988189576,-0.129713027,0.648282366,0.92846961,-0.977141563,0.935774112,-0.931366473,-0.929257357,0.942158349,0.972277841,-0.826114713,-0.005339531,0.98563808,0.664178922,0.943915943,0.970174331,-0.452982656,0.986104842,-0.924333385,0.953331274
15.5.1,-0.933556267,-0.753927562,-0.98249119,0.112355646,-0.60710921,0.97750923,0.978606662,0.951360334,0.834802094,-0.997402853,0.863123482,-0.928256358,0.94865667,-0.855943282,0.997402853,-0.988952829,-0.996122475,-0.60710921,0.215245479,0.936196152,-0.653305931,0.205051152,0.961747753,0.883705886,0.948686241,-0.942772633,0.987371502,-0.997402853,0.663792185,0.998504941,-0.513481872,0.990387854,-0.997402853,0.444916415,0.856894485,-0.994234196,-0.753927562,-0.932033314,0.82266741,-0.982799491,1,0.476903383,-0.933556267,-0.010736256,0.997402853,-0.470750208,-0.933556267,-0.68039264,0.883369827,-0.984616458,-0.963462995,0.617734907,-0.775793926,-0.997402853,-0.753927562,0.994930252,-0.907906512,0.996779859,-0.515060058,0.97479703,0.997402728,0.977061804,-0.997248621,0.086429715,-0.60710921,-0.878602433,0.993396813,-0.916328044,0.875288233,0.96233931,-0.963462995,-0.97477814,0.808997155,-0.079047638,-0.947753377,-0.695265311,-0.896751006,-0.974974088,0.584859881,-0.997402853,0.954771366,-0.965004061
8.3.1,-0.398804148,-0.085143841,-0.452496284,0.638872873,-0.262790887,0.536191699,0.570734963,0.442546083,0.761081516,-0.466354777,0.515711005,-0.360055357,0.223856075,-0.284168159,0.466354777,-0.445890015,-0.420952616,-0.262790887,0.246866097,0.626499179,-0.095470674,0.600806272,0.375743225,0.561776197,0.419301624,-0.410872656,0.491634103,-0.466354777,0.269940201,0.48828504,-0.134095267,0.462910596,-0.466354777,-0.279102998,0.443216545,-0.445333937,-0.085143841,-0.20801671,0.372281383,-0.338592254,0.476903383,1,-0.398804148,-0.614980794,0.466354777,-0.342397163,-0.398804148,-0.255502359,0.789362767,-0.399466385,-0.37813612,0.609292086,-0.150178669,-0.466354777,-0.085143841,0.481244674,-0.424165257,0.498087835,-0.04925438,0.498335001,0.46635335,0.501631301,-0.447099704,0.010704501,-0.262790887,-0.155911201,0.506455052,-0.421596676,0.045045418,0.501630262,-0.37813612,-0.393365385,0.139581678,-0.398677713,-0.281839173,-0.563755865,-0.190019658,-0.466165273,0.772425265,-0.466354777,0.597280908,-0.480239707
1.5.4,1,0.552003707,0.870952126,-0.10481746,0.721151947,-0.906910556,-0.887100121,-0.883605708,-0.782464457,0.920746378,-0.842385988,0.841447988,-0.922031031,0.901215627,-0.920746378,0.905319526,0.918706742,0.721151947,-0.064959352,-0.860786436,0.668811515,0.022595589,-0.914467861,-0.907717695,-0.94402633,0.923644307,-0.888938168,0.920746378,-0.459667635,-0.926578823,0.611843473,-0.947332057,0.920746378,-0.418462135,-0.84350853,0.908322519,0.552003707,0.89832356,-0.659111369,0.934820085,-0.933556267,-0.398804148,1,-0.06455104,-0.920746378,0.601242972,1,0.780172113,-0.840371681,0.934399297,0.900498571,-0.478352939,0.865200024,0.920746378,0.552003707,-0.926848475,0.93727822,-0.914747822,0.646176594,-0.943600477,-0.920745638,-0.915065058,0.920979336,-0.133160463,0.721151947,0.745700472,-0.946071597,0.913173048,-0.885034787,-0.960265476,0.900498571,0.872756713,-0.813012524,0.003805365,0.934599124,0.726428996,0.83002232,0.919747021,-0.496820372,0.920746378,-0.842928436,0.951847756
8.1.1,-0.06455104,-0.249334898,0.050363984,-0.366415479,0.028594705,-0.013480071,-0.030032378,-0.051527171,-0.399856692,0.041079297,-0.073749033,0.136968925,0.184982991,-0.38620754,-0.041079297,0.065152299,-0.00427006,0.028594705,-0.227089519,-0.1165273,-0.037015824,-0.628562794,0.065362702,-0.065751907,0.06111867,-0.053966694,-0.041173079,0.041079297,0.287169726,-0.046950797,-0.369775383,0.079221518,0.041079297,0.340773509,0.022617572,-0.02000065,-0.249334898,-0.18929608,-0.183445229,-0.039017937,-0.010736256,-0.614980794,-0.06455104,1,-0.041079297,0.105551018,-0.06455104,0.216901863,-0.175751765,0.033172764,-0.185237231,-0.333256594,-0.264977905,0.041079297,-0.249334898,-0.065803978,-0.098827125,-0.047139727,-0.107649122,0.021588447,-0.041077576,0.045852631,0.015928272,-0.072141902,0.028594705,-0.033438204,-0.081838868,0.143192072,0.194566443,-0.003079911,-0.185237231,-0.023768225,0.086561561,0.423066328,-0.016334235,0.353125099,-0.134698522,0.103861697,-0.007115613,0.041079297,-0.207068,0.087388208
3.6.1,-0.920746378,-0.763959249,-0.986471475,0.070635092,-0.612724107,0.969087424,0.974931124,0.958082296,0.843272075,-1,0.859483484,-0.950357271,0.940965816,-0.823201729,1,-0.996822663,-0.998244325,-0.612724107,0.2260907,0.938699851,-0.67962022,0.235053889,0.962379013,0.866759874,0.938847134,-0.930260509,0.990017227,-1,0.655841166,0.999163869,-0.486759157,0.97849211,-1,0.45963856,0.854586569,-0.996034242,-0.763959249,-0.932990361,0.843670379,-0.986104842,0.997402853,0.466354777,-0.920746378,-0.041079297,1,-0.463639546,-0.920746378,-0.685360535,0.86555373,-0.990333646,-0.957977327,0.611547768,-0.768450635,-1,-0.763959249,0.997669049,-0.897863685,0.998343653,-0.529018415,0.969909522,1,0.969495461,-0.99959331,0.116263965,-0.612724107,-0.900586735,0.99091042,-0.913962286,0.880515542,0.951270151,-0.957977327,-0.983517664,0.804917979,-0.079037572,-0.953587973,-0.673537836,-0.903807379,-0.973396462,0.559016994,-1,0.967150363,-0.966764621
16.6.1,0.601242972,-0.102705315,0.471568177,-0.240710041,0.940687859,-0.393288947,-0.48617148,-0.409709104,-0.399251571,0.463639546,-0.454934501,0.416703689,-0.447943283,0.377810163,-0.463639546,0.446273989,0.457421813,0.940687859,-0.238221467,-0.467981542,0.724287888,-0.110878298,-0.406493864,-0.476610725,-0.480342547,0.49169534,-0.390386949,0.463639546,0.195185464,-0.470886762,-0.055379076,-0.474316368,0.463639546,0.001349296,-0.26538699,0.453365778,-0.102705315,0.483609177,-0.394949238,0.478457803,-0.470750208,-0.342397163,0.601242972,0.105551018,-0.463639546,1,0.601242972,0.721736275,-0.457637986,0.485396447,0.447141336,-0.384409293,0.759047411,0.463639546,-0.102705315,-0.468693275,0.756601525,-0.473041953,0.811017545,-0.455552072,-0.463638386,-0.366437613,0.46062677,0.11319269,0.940687859,0.359435913,-0.468943574,0.534764947,-0.353823004,-0.476298529,0.447141336,0.440018598,-0.443490046,0.209542144,0.516983641,0.409395899,0.318101347,0.472683913,-0.331368753,0.463639546,-0.451922466,0.449199983
11.b.2,1,0.552003707,0.870952126,-0.10481746,0.721151947,-0.906910556,-0.887100121,-0.883605708,-0.782464457,0.920746378,-0.842385988,0.841447988,-0.922031031,0.901215627,-0.920746378,0.905319526,0.918706742,0.721151947,-0.064959352,-0.860786436,0.668811515,0.022595589,-0.914467861,-0.907717695,-0.94402633,0.923644307,-0.888938168,0.920746378,-0.459667635,-0.926578823,0.611843473,-0.947332057,0.920746378,-0.418462135,-0.84350853,0.908322519,0.552003707,0.89832356,-0.659111369,0.934820085,-0.933556267,-0.398804148,1,-0.06455104,-0.920746378,0.601242972,1,0.780172113,-0.840371681,0.934399297,0.900498571,-0.478352939,0.865200024,0.920746378,0.552003707,-0.926848475,0.93727822,-0.914747822,0.646176594,-0.943600477,-0.920745638,-0.915065058,0.920979336,-0.133160463,0.721151947,0.745700472,-0.946071597,0.913173048,-0.885034787,-0.960265476,0.900498571,0.872756713,-0.813012524,0.003805365,0.934599124,0.726428996,0.83002232,0.919747021,-0.496820372,0.920746378,-0.842928436,0.951847756
