Var1,Var2,value
7.1.1,12.4.2,0.746815344289381
3.8.2,3.3.3,0.747398399101943
12.c.1,17.1.1,-0.748169746573149
8.9.1,1.4.1,-0.750113351800193
8.1.1,2.1.1,0.750377452350468
12.c.1,1.4.1,-0.750583324185409
12.4.2,17.13.1,-0.751253195131973
16.2.2,8.2.1,0.751510856965547
13.1.2,3.b.1,-0.751958325103036
3.b.1,1.5.3,-0.751958325103036
3.b.1,11.b.1,-0.751958325103036
8.9.1,3.3.5,-0.752744853794646
3.8.2,17.13.1,-0.753244487180301
2.5.1,15.2.1,0.75338022825685
12.c.1,15.5.1,0.75364179789403
12.b.1,10.c.1,0.755110578822744
7.1.2,12.c.1,-0.755407965094006
10.5.1,15.2.1,0.756334366728746
11.6.2,10.c.1,-0.756356416609786
4.3.1,12.c.1,-0.756736302755246
12.c.1,16.3.2,0.756818724400799
12.c.1,3.6.1,-0.756818724400807
12.c.1,3.4.1,0.756818724400808
12.c.1,3.4.2,-0.756818724400808
3.8.1,12.c.1,0.756818724400808
3.d.2,12.c.1,-0.75681872440081
6.5.1,12.c.1,0.756818724400812
12.c.1,1.2.1,0.756818724400818
11.6.2,2.a.1,-0.757040954723748
12.c.1,2.2.2,-0.757212544811676
7.3.1,8.9.1,-0.757660230944887
12.c.1,3.2.2,-0.757798139931584
2.a.1,10.5.1,-0.758283817694561
12.c.1,3.2.1,-0.759028981259419
7.a.1,2.5.1,-0.759220479963966
3.8.2,7.a.1,-0.759446832846257
4.2.2,15.2.1,-0.759559173657746
2.5.1,2.5.2,-0.760935212700174
10.c.1,15.2.1,-0.761046941074723
8.9.1,5.b.1,-0.761071646283004
10.5.1,7.a.1,-0.761272050502041
8.9.1,14.1.1,0.761682614312316
12.4.2,8.2.1,0.762227319573957
8.9.1,15.1.1,-0.762890912503516
10.c.1,2.5.1,-0.76336842948319
2.a.1,12.c.1,0.763644344401384
3.b.1,8.9.1,-0.763725343434393
3.8.2,15.2.1,0.76424017557329
11.6.2,15.8.1,-0.764332377141632
12.c.1,15.1.1,-0.764406093436083
15.8.1,12.4.2,-0.76450158549543
12.4.2,7.2.1,-0.765481359005577
12.c.1,9.1.2,0.765964460053812
13.1.2,15.8.1,0.766964988847368
15.8.1,1.5.3,0.766964988847368
15.8.1,11.b.1,0.766964988847368
8.9.1,3.3.3,-0.767555941260257
8.1.1,17.4.1,-0.767715963766436
11.6.2,7.2.1,-0.767840941424535
17.13.1,2.5.1,-0.768958100208381
12.4.2,6.4.2,0.770022005992755
7.a.1,12.b.1,0.77036437720456
7.2.1,2.1.1,-0.771502570321137
12.4.2,3.3.5,0.771595258180063
12.c.1,5.b.1,-0.771750598873709
10.5.1,2.5.2,-0.77176414888313
7.3.1,2.a.1,-0.77214759933757
3.8.2,10.c.1,-0.772624805953674
6.2.1,12.c.1,-0.773041767191623
12.4.2,2.a.1,-0.773248634959508
2.a.1,2.1.1,-0.773407835689598
12.4.2,15.1.1,0.773576645704582
3.8.2,10.5.1,0.773976742865687
1.5.2,2.1.2,0.774384757079239
11.5.2,2.1.2,0.774384757079239
12.4.2,9.4.1,0.774586403774595
6.6.1,12.c.1,0.774594544431866
14.1.1,3.3.5,-0.774600009271723
2.2.1,2.5.1,-0.774767080125182
15.8.1,7.3.1,-0.77579314156561
15.8.1,3.8.2,-0.775899162251194
12.4.2,9.1.2,-0.776627154917689
11.6.2,1.1.1,0.777810621929849
12.4.2,16.2.2,0.778760674749857
1.a.2,8.9.1,0.778840155609058
9.5.1,15.2.1,0.779185938818059
3.8.2,6.4.2,0.779830440920646
12.c.1,1.3.1,0.7801588939737
3.3.5,2.5.2,-0.780943930027048
8.8.2,3.8.2,0.781433136044088
2.1.1,2.5.2,-0.782555197045884
7.3.1,7.2.1,-0.78301919396349
11.6.2,7.3.1,0.783127549154044
8.8.2,15.2.1,0.783162831594279
3.8.2,14.1.1,-0.783470996378162
12.4.2,1.4.1,0.784424017193659
11.6.2,12.a.1,0.785209831215399
11.6.2,7.b.1,0.785209831215399
12.c.1,2.5.2,0.786616410205258
12.4.2,2.2.1,-0.786680945836089
2.a.1,10.c.1,0.786774220460774
11.1.1,15.2.1,0.787585313327039
7.3.1,15.2.1,0.78836345248162
15.8.1,17.13.1,0.789239725827572
12.c.1,3.3.3,-0.791662592741418
14.1.1,7.a.1,0.792566853089902
15.8.1,12.b.1,0.792663555376006
3.8.2,9.5.1,0.793340116520165
3.8.2,3.3.5,0.79463653168471
12.4.2,15.6.1,0.795691029524047
2.a.1,12.b.1,0.796398674694197
12.b.1,2.5.2,0.797214552102161
6.4.1,12.c.1,0.79776733043917
7.a.1,2.1.1,-0.79879903974207
2.5.2,15.2.1,-0.800107121513838
7.a.1,3.3.5,-0.800227928407223
3.8.2,9.4.1,0.800412181657043
4.2.2,7.a.1,0.801154794863997
7.1.2,12.4.2,0.801454486047264
7.1.1,12.c.1,-0.801742228332687
11.6.2,2.5.1,0.801855817693723
14.1.1,16.2.2,-0.802613179855076
3.3.5,15.2.1,0.803017792476031
2.a.1,3.3.5,-0.80303402581754
9.5.1,7.a.1,-0.803615243499883
2.1.1,10.c.1,-0.803817454715403
11.6.2,7.1.1,0.804081649101156
4.2.2,2.5.2,0.804587548181749
2.a.1,9.5.1,-0.804764443035359
14.1.1,2.5.2,0.805035092535654
3.8.2,15.6.1,0.805560121651856
7.2.1,12.b.1,0.805698435084641
11.6.2,15.1.1,0.806205306234801
15.8.1,9.5.1,-0.806684958292513
3.8.2,12.b.1,-0.806765444105983
8.9.1,10.c.1,0.807313216500342
6.2.1,12.4.2,0.807701711771456
17.13.1,9.1.2,0.807776865925256
10.5.1,16.2.2,0.808828615255271
3.b.1,2.5.1,0.809589066317127
3.b.1,15.2.1,0.810883735844674
12.4.2,5.b.1,0.810936004728934
8.8.2,14.1.1,-0.810999426534579
7.2.1,3.3.5,-0.811035001455411
1.a.2,2.5.2,0.811329486365065
17.13.1,16.2.2,-0.811360864300832
15.8.1,6.4.2,-0.811976832807773
17.8.1,2.5.1,-0.812382377822553
6.4.2,15.2.1,0.812428060406733
12.4.2,3.2.1,0.813357073484199
12.4.2,2.2.2,0.813678255838227
2.a.1,6.4.2,-0.814296386892218
14.1.1,1.3.1,0.814593563198662
11.6.2,17.13.1,-0.814701512547237
4.2.2,15.8.1,0.814873364968871
12.4.2,1.3.1,-0.815983460665669
16.2.2,15.2.1,0.816167617036191
12.4.2,8.3.1,-0.816215029224591
15.8.1,15.2.1,-0.816317612936543
14.1.1,3.3.3,-0.81678930091191
2.a.1,16.2.2,-0.817360951931717
2.1.1,15.2.1,0.817486939895958
8.8.2,2.a.1,-0.817758471780887
12.4.2,4.3.1,0.817773624665929
12.4.2,3.8.2,0.818105580330816
7.2.1,9.5.1,-0.818185524778482
3.8.2,9.1.2,-0.818290665411937
7.1.2,3.8.2,0.818379287411753
12.4.2,15.5.1,-0.819135702303298
12.4.2,9.5.2,0.819543305959945
12.4.2,16.3.2,-0.81958055922191
12.4.2,3.6.1,0.81958055922191
3.d.2,12.4.2,0.81958055922191
12.4.2,3.4.1,-0.819580559221912
12.4.2,3.4.2,0.819580559221912
12.4.2,3.8.1,-0.819580559221912
12.4.2,1.2.1,-0.819580559221922
6.5.1,12.4.2,-0.819580559221922
3.b.1,12.4.2,0.820349155544338
8.9.1,17.3.2,0.820443249635
12.4.2,3.3.2,-0.820462244059046
11.6.2,2.2.1,-0.820764954500375
17.8.1,17.13.1,0.820981534852432
3.b.1,2.1.1,0.821170800009706
3.8.2,1.3.1,-0.82128633611166
12.4.2,17.1.1,0.822076589481169
12.4.2,3.2.2,0.822678318840825
3.8.2,2.2.1,-0.822729443899057
3.8.2,2.2.2,0.822933907584416
7.2.1,10.c.1,0.823178020881716
3.8.2,9.5.2,0.823497994425565
10.5.1,10.c.1,-0.823633269384284
3.8.2,1.4.1,0.823680112781641
10.4.1,12.4.2,-0.82396569154187
6.2.1,3.8.2,0.824101328013963
15.8.1,7.1.1,-0.824232612522803
4.5.1,15.2.1,-0.824494834940665
3.8.2,8.3.1,-0.82518590140894
7.2.1,14.1.1,0.826063650674744
3.8.2,3.2.1,0.826109018818846
8.1.1,16.6.1,0.826221947396734
7.1.1,3.8.2,0.826260682765159
4.2.2,14.1.1,0.826401149432529
17.8.1,2.1.1,-0.826524694533537
12.b.1,2.1.1,-0.82699296004544
2.a.1,2.5.2,0.827287370479152
7.2.1,6.4.2,-0.82732422612457
12.a.1,17.13.1,-0.827636204151161
17.13.1,7.b.1,-0.827636204151161
15.8.1,3.3.3,-0.82781499163804
6.6.1,17.13.1,0.827868886896876
15.8.1,11.1.1,-0.828089247312598
4.2.2,2.a.1,0.828097959455537
11.5.2,14.7.1,0.828152220716347
14.7.1,1.5.2,0.828152220716347
11.6.2,3.3.5,0.828154595949587
11.6.2,1.4.1,0.828273969787749
3.8.2,15.5.1,-0.828693980182634
1.a.2,12.4.2,-0.828870375162392
2.a.1,11.1.1,-0.829122614455791
9.1.2,2.5.1,-0.829451950757749
9.5.1,2.5.2,-0.829535125422239
1.5.3,10.c.1,0.829549862480731
11.b.1,10.c.1,0.829549862480731
13.1.2,10.c.1,0.829549862480731
1.a.2,2.5.1,-0.830180463772066
3.8.2,16.3.2,-0.830851121174771
3.d.2,3.8.2,0.830851121174781
3.8.2,3.4.1,-0.830851121174782
3.8.2,3.4.2,0.830851121174782
3.8.2,3.8.1,-0.830851121174782
3.8.2,3.6.1,0.830851121174783
6.5.1,3.8.2,-0.830851121174785
3.8.2,1.2.1,-0.830851121174793
11.6.2,15.6.1,0.830976145587415
15.8.1,16.2.2,-0.831485611302628
3.8.2,4.3.1,0.83231098588526
11.6.2,9.1.2,-0.83264310660707
16.2.2,2.5.1,0.832884575495405
8.8.2,7.a.1,-0.832987128493941
7.3.1,12.b.1,-0.833468762310504
17.13.1,10.c.1,0.833889132800277
11.6.2,10.5.1,0.833933744495592
6.4.1,17.13.1,0.834373109808958
7.3.1,7.a.1,-0.834379989587843
7.3.1,14.1.1,-0.834512339418973
14.1.1,12.a.1,-0.83491093627607
14.1.1,7.b.1,-0.83491093627607
11.6.2,6.4.2,0.834944389493049
3.8.2,7.2.1,-0.83497155559792
7.1.1,8.9.1,-0.835079729799052
3.8.2,15.1.1,0.835405529912276
11.1.1,7.a.1,-0.8354407462428
3.b.1,2.5.2,-0.83595379771867
8.8.2,7.2.1,-0.836080713011636
3.8.2,3.2.2,0.836649088906515
14.1.1,9.5.1,-0.836851003059029
4.2.2,7.2.1,0.837560237289836
8.8.2,15.8.1,-0.837620018722145
3.8.2,6.6.1,-0.838665561504693
2.2.1,2.1.1,-0.838757601116265
3.b.1,10.5.1,0.838839428295596
14.1.1,15.2.1,-0.83894094696365
3.b.1,7.a.1,-0.839105803583322
6.4.2,7.a.1,-0.83915485458039
16.2.2,10.c.1,-0.839267985578093
3.8.2,3.3.2,-0.839815699189735
11.1.1,14.1.1,-0.83981717054395
7.2.1,11.1.1,-0.840503310193519
7.3.1,16.2.2,0.841001443596506
17.8.1,10.5.1,-0.841268968479303
12.4.2,6.6.1,-0.841306094521822
11.6.2,9.5.2,0.841371697557471
7.1.1,14.1.1,-0.841445124415897
11.6.2,9.4.1,0.841676583691612
2.a.1,12.a.1,-0.841768229341507
2.a.1,7.b.1,-0.841768229341507
7.a.1,10.c.1,0.842276451971908
17.13.1,12.b.1,0.843554523510235
17.13.1,3.3.3,-0.843788432160764
12.b.1,3.3.3,-0.844027893635819
12.4.2,9.5.1,0.844110340516249
12.4.2,6.4.1,-0.845139446032878
11.6.2,7.1.2,0.84561573567489
8.3.1,15.2.1,-0.846044556092856
3.8.2,11.1.1,0.846175441036329
9.1.2,2.1.1,-0.846543002060919
17.8.1,12.4.2,-0.846543992534243
7.a.1,16.2.2,-0.846615702776655
6.2.1,17.13.1,-0.846794993122362
14.1.1,1.1.1,-0.848026446814226
4.5.1,2.5.2,0.848328801736631
17.13.1,15.1.1,-0.848987796676929
3.8.2,17.1.1,0.849003497676637
11.6.2,6.2.1,0.849508485981351
3.b.1,11.6.2,0.849666511851766
7.1.1,12.b.1,-0.849720170884556
3.3.5,10.c.1,-0.849837150869989
15.8.1,1.1.1,-0.850407331209449
2.a.1,1.1.1,-0.850655044749946
12.a.1,15.2.1,0.850682981860662
7.b.1,15.2.1,0.850682981860662
6.6.1,2.5.1,-0.851126763570837
15.8.1,10.c.1,0.851436988037203
17.13.1,1.4.1,-0.851901195126593
16.2.2,2.1.1,0.851911355240917
3.b.1,3.8.2,0.852125577586154
1.a.2,15.8.1,0.852155531145034
10.5.1,2.2.1,-0.852577622021924
7.1.1,15.2.1,0.852622447914645
3.8.2,6.4.1,-0.852851121140328
11.1.1,2.5.2,-0.852982714953492
7.1.2,14.1.1,-0.853038943789951
3.b.1,17.13.1,-0.85334392451938
11.6.2,6.6.1,-0.853348110050632
11.6.2,3.2.1,0.8539248018011
16.2.2,12.b.1,-0.854172664004383
11.6.2,2.2.2,0.854287886143351
2.a.1,14.1.1,0.85484578908319
15.8.1,5.b.1,-0.854971614113071
4.5.1,7.a.1,0.855052022203619
4.5.1,14.1.1,0.855288163294081
1.3.1,15.2.1,-0.856231895740982
9.4.1,15.2.1,0.85631754666095
10.5.1,9.1.2,-0.856531651805374
11.6.2,1.3.1,-0.8565332841014
12.4.2,11.1.1,0.85658697798855
1.a.2,16.2.2,-0.85659915101767
6.4.2,14.1.1,-0.857312084814551
15.8.1,7.1.2,-0.857587869434148
15.8.1,9.4.1,-0.857610081621548
11.6.2,16.3.2,-0.857708735276884
11.6.2,3.6.1,0.857708735276887
11.6.2,3.4.1,-0.857708735276888
11.6.2,3.4.2,0.857708735276888
11.6.2,3.8.1,-0.857708735276888
11.6.2,3.d.2,0.857708735276888
11.6.2,1.2.1,-0.857708735276896
11.6.2,6.5.1,-0.8577087352769
1.a.2,7.a.1,0.857933956551717
7.3.1,2.5.2,-0.858196920235554
3.b.1,12.b.1,-0.858427094494571
2.2.1,12.b.1,0.858640389899171
14.1.1,5.b.1,-0.858649363709297
15.8.1,14.1.1,0.858758119926633
11.6.2,4.3.1,0.858769170267137
15.8.1,2.2.2,-0.859073135203414
6.4.2,2.5.2,-0.859548100199648
10.c.1,3.3.3,-0.859638829807113
1.1.1,12.b.1,-0.859663091845945
3.b.1,2.a.1,-0.860242720491338
15.8.1,4.5.1,0.860537283058858
1.1.1,17.13.1,-0.860775633205254
3.b.1,15.8.1,-0.860825634689358
11.6.2,15.5.1,-0.860833992900621
16.2.2,2.5.2,-0.86127134136551
14.1.1,9.4.1,-0.861384711522872
