,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,15.8.1,7.1.1,3.d.2,7.3.1,7.1.2,17.8.1,11.5.1,4.5.1,6.2.1,11.5.2,12.4.2,8.9.1,3.8.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,2.c.1,14.1.1,1.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,5.b.1,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,1.2.1,9.4.1,7.b.1,12.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,2.5.1,1.4.1,3.3.2,16.3.2,2.5.2,15.2.1
4.2.2,-0.493762373,0.615239203,-0.969478489,0.166893295,0.393170794,-0.952711998,-0.949605196,0.95237479,0.953124474,0.961590088,1,0.814873365,-0.933298955,-0.953124474,-0.908620415,-0.952506653,0.930091571,0.393170794,0.993010624,-0.947160619,-0.278425499,-0.90172757,0.651818414,-0.885444067,-0.952519355,0.837560237,0.828097959,-0.955269851,0.930762599,0.953124474,-0.927601227,0.935177801,0.324503825,-0.988943921,0.135681357,0.826401149,-0.902237805,0.657752841,0.615239203,-0.953615479,-0.943453367,0.953124474,0.955805181,0.961122541,-0.493762373,-0.430698858,-0.953124474,-0.470093537,-0.493762373,0.907835341,-0.979245517,0.948356117,-0.879893121,0.801154795,0.564778024,-0.953124474,0.615239203,-0.319481646,0.910444703,-0.953554375,-0.278425499,0.901292616,-0.966315182,-0.920885172,-0.872376315,-0.958719299,0.299277459,0.393170794,-0.94976667,-0.214235661,-0.944395604,0.107224397,0.953124474,-0.942061332,-0.879893121,0.954660898,-0.874412026,-0.965824014,-0.635408572,0.378859011,0.88313164,-0.885052895,-0.887504789,-0.937489534,0.958091647,0.953124474,0.804587548,-0.759559174
15.8.1,-0.444613709,0.766964989,-0.837620019,0.037006326,0.501700597,-0.860825635,-0.764332377,0.889717754,0.891132789,0.852155531,0.814873365,1,-0.824232613,-0.891132789,-0.775793142,-0.857587869,0.945842368,0.501700597,0.860537283,-0.866933737,-0.354540746,-0.764501585,0.58749002,-0.775899162,-0.89103574,0.915273487,0.89978813,-0.811976833,0.928141485,0.891132789,-0.722045882,0.92003952,-0.040263229,-0.828089247,0.148550139,0.85875812,-0.850407331,0.680520922,0.766964989,-0.859073135,-0.886635539,0.891132789,0.884212277,0.887025558,-0.444613709,-0.231630491,-0.891132789,-0.108191903,-0.444613709,0.969189759,-0.806684958,0.880874039,-0.866218012,0.892899577,0.469515358,-0.891132789,0.766964989,-0.498850835,0.789239726,-0.877929515,-0.354540746,0.93363727,-0.854971614,-0.898684302,-0.831485611,-0.879066801,0.273029402,0.501700597,-0.738587856,0.0011665,-0.880493839,-0.381819938,0.891132789,-0.857610082,-0.866218012,0.792663555,-0.696139014,-0.863092743,-0.710920484,0.20794375,0.851436988,-0.827814992,-0.620139904,-0.880316135,0.891134475,0.891132789,0.918976288,-0.816317613
7.1.1,0.458730951,-0.558519131,0.920548909,-0.338958038,-0.530984572,0.946451513,0.804081649,-0.959204885,-0.969681339,-0.960028297,-0.933298955,-0.824232613,1,0.969681339,0.930721022,0.975698896,-0.930180471,-0.530984572,-0.951271226,0.9732451,0.176183601,0.746815344,-0.83507973,0.826260683,0.967951233,-0.912621725,-0.866446495,0.959737674,-0.947197973,-0.969681339,0.905571963,-0.950055078,-0.118748947,0.94599156,-0.206431139,-0.841445124,0.95380358,-0.801742228,-0.558519131,0.97164836,0.953742797,-0.969681339,-0.969133946,-0.969061927,0.458730951,0.596867722,0.969681339,0.492677114,0.458730951,-0.930245969,0.945596092,-0.967661802,0.909107231,-0.903662373,-0.448514006,0.969681339,-0.558519131,0.242208984,-0.874619436,0.973047206,0.176183601,-0.923173675,0.978774321,0.966307773,0.923704596,0.972436357,-0.445135213,-0.530984572,0.965138988,0.053401656,0.961397909,0.047362287,-0.969681339,0.95386268,0.909107231,-0.849720171,0.930650516,0.976131519,0.561795669,-0.601751525,-0.907566695,0.966543886,0.878827016,0.969649408,-0.970735285,-0.969681339,-0.86422538,0.852622448
3.d.2,0.44246566,-0.645497224,0.972742952,-0.169370127,-0.500471851,0.947970588,0.857708735,-0.98666607,-1,-0.956260999,-0.953124474,-0.891132789,0.969681339,1,0.949117265,0.996422726,-0.977020116,-0.500471851,-0.976611248,0.996545339,0.322869592,0.819580559,-0.719194952,0.830851121,0.999891095,-0.922185747,-0.906391982,0.976944,-0.988789862,-1,0.92674848,-0.989913047,-0.099666344,0.975569521,-0.218487795,-0.875715646,0.982299787,-0.756818724,-0.645497224,0.997685026,0.994953333,-1,-0.999271408,-0.995391,0.44246566,0.518650123,1,0.403994126,0.44246566,-0.970368244,0.968422064,-0.988487968,0.968282984,-0.917190708,-0.509111881,1,-0.645497224,0.399076384,-0.878040184,0.999381011,0.322869592,-0.974059274,0.987580369,0.991325694,0.933065893,0.999358489,-0.427823546,-0.500471851,0.951428754,0.148123415,0.993428291,0.127761743,-1,0.990260409,0.968282984,-0.915447312,0.925560859,0.996340539,0.644230142,-0.458515635,-0.914749325,0.974010117,0.901008235,0.996532064,-0.99951551,-1,-0.917921429,0.885993582
7.3.1,0.523027146,-0.61265256,0.934971286,-0.237038102,-0.35016164,0.884544032,0.783127549,-0.927491861,-0.949117265,-0.892607578,-0.908620415,-0.775793142,0.930721022,0.949117265,1,0.960882717,-0.882140192,-0.35016164,-0.91612862,0.94620523,0.153547914,0.674830289,-0.757660231,0.746309695,0.951310642,-0.783019194,-0.772147599,0.983332718,-0.896854475,-0.949117265,0.965846091,-0.901590099,-0.212098286,0.956582781,-0.089410337,-0.834512339,0.975173913,-0.648807388,-0.61265256,0.954417251,0.941096616,-0.949117265,-0.954911569,-0.956951465,0.523027146,0.696686712,0.949117265,0.640536651,0.523027146,-0.900690024,0.948937247,-0.941631734,0.960601556,-0.83437999,-0.419887237,0.949117265,-0.61265256,0.28740823,-0.889976664,0.954324033,0.153547914,-0.916379423,0.952008038,0.933999083,0.841001444,0.952492296,-0.490625759,-0.35016164,0.94866372,0.067677289,0.953057321,-0.023071327,-0.949117265,0.98085292,0.960601556,-0.833468762,0.955806347,0.955993942,0.443835355,-0.53263266,-0.921009473,0.940125599,0.916806999,0.953216905,-0.95159172,-0.949117265,-0.85819692,0.788363452
7.1.2,0.416328799,-0.597010496,0.971855166,-0.203491847,-0.4875337,0.936172084,0.845615736,-0.982016111,-0.996422726,-0.952840191,-0.952506653,-0.857587869,0.975698896,0.996422726,0.960882717,1,-0.956397596,-0.4875337,-0.972346387,0.993403074,0.305388742,0.801454486,-0.735201288,0.818379287,0.99631421,-0.900645923,-0.888181202,0.985275536,-0.974575015,-0.996422726,0.948838994,-0.97825224,-0.123251679,0.977601772,-0.217334057,-0.853038944,0.985587907,-0.755407965,-0.597010496,0.998167822,0.992655165,-0.996422726,-0.998029367,-0.990218503,0.416328799,0.573899684,0.996422726,0.455914806,0.416328799,-0.952734419,0.974256582,-0.99137874,0.964571272,-0.89904444,-0.529994613,0.996422726,-0.597010496,0.35932402,-0.890775085,0.998757623,0.305388742,-0.955626355,0.989307632,0.986925361,0.92972806,0.998232791,-0.453464449,-0.4875337,0.971927984,0.17166636,0.988645377,0.082925214,-0.996422726,0.991983496,0.964571272,-0.911161519,0.95339699,0.99818303,0.612237869,-0.480100208,-0.901770413,0.983172179,0.922255667,0.992840428,-0.995679008,-0.996422726,-0.89474679,0.879537043
17.8.1,-0.464193105,0.735554756,-0.937280861,0.120597932,0.515179034,-0.955263027,-0.864025939,0.975916221,0.977020116,0.951216926,0.930091571,0.945842368,-0.930180471,-0.977020116,-0.882140192,-0.956397596,1,0.515179034,0.962743276,-0.972091698,-0.346063206,-0.846543993,0.674965792,-0.861932579,-0.976633838,0.955206331,0.941470624,-0.922157173,0.994234684,0.977020116,-0.841268968,0.989508715,0.019363581,-0.938756452,0.24303349,0.912545725,-0.935046287,0.739436136,0.735554756,-0.964769178,-0.971362093,0.977020116,0.970237265,0.973662408,-0.464193105,-0.35295839,-0.977020116,-0.25760968,-0.464193105,0.98280028,-0.922076652,0.950439184,-0.933396832,0.928031446,0.452858117,-0.977020116,0.735554756,-0.448999083,0.820981535,-0.969247594,-0.346063206,0.982975814,-0.957586877,-0.975362058,-0.908460921,-0.971143657,0.320879652,0.515179034,-0.875587452,-0.075378967,-0.972885553,-0.241762346,0.977020116,-0.949650559,-0.933396832,0.894888329,-0.826524695,-0.963082322,-0.718308425,0.396704253,0.915097621,-0.92068984,-0.812382378,-0.974418143,0.978028847,0.977020116,0.9286027,-0.889239743
11.5.1,-0.115533827,-0.008632565,-0.411302045,0.248359437,1,-0.358919971,-0.43433999,0.485578326,0.500471851,0.459640579,0.393170794,0.501700597,-0.530984572,-0.500471851,-0.35016164,-0.4875337,0.515179034,1,0.454992423,-0.520807598,-0.588401308,-0.411659991,0.322411836,-0.470904158,-0.501004704,0.704895742,0.569284314,-0.361101393,0.549358811,0.500471851,-0.352217633,0.577424317,-0.109085533,-0.39935303,-0.137829511,0.210332,-0.477701629,0.927237934,-0.008632565,-0.496731017,-0.455072024,0.500471851,0.494505175,0.475835873,-0.115533827,-0.029365243,-0.500471851,0.219197543,-0.115533827,0.492741305,-0.343892763,0.529253882,-0.484214438,0.736451329,0.270444294,-0.500471851,-0.008632565,-0.615843067,0.264553497,-0.498667634,-0.588401308,0.549942562,-0.507440075,-0.50488235,-0.464168766,-0.498285002,-0.009130463,1,-0.410763494,-0.21916663,-0.422909583,-0.168666369,0.500471851,-0.44892132,-0.484214438,0.466081741,-0.4255048,-0.479207234,-0.123718375,0.335444168,0.287900537,-0.530587139,-0.421940597,-0.487397194,0.482843954,0.500471851,0.61932869,-0.518696747
4.5.1,-0.459463465,0.63039985,-0.971587256,0.186968588,0.454992423,-0.960535889,-0.935859451,0.979641119,0.976611248,0.978412671,0.993010624,0.860537283,-0.951271226,-0.976611248,-0.91612862,-0.972346387,0.962743276,0.454992423,1,-0.970936995,-0.318607612,-0.895267838,0.676458427,-0.901167471,-0.976257185,0.890576376,0.885485895,-0.959581167,0.964431051,0.976611248,-0.924557852,0.968659988,0.224484352,-0.98817806,0.174032555,0.855288163,-0.928130226,0.710776357,0.63039985,-0.974643558,-0.9694749,0.976611248,0.977235507,0.977603776,-0.459463465,-0.422144063,-0.976611248,-0.41324349,-0.459463465,0.941053912,-0.974438193,0.968627338,-0.909909618,0.855052022,0.557401055,-0.976611248,0.63039985,-0.358294165,0.897168587,-0.975618707,-0.318607612,0.937415567,-0.984041126,-0.955990015,-0.891633402,-0.979887025,0.297536166,0.454992423,-0.949743877,-0.190206775,-0.965687937,0.003504893,0.976611248,-0.960588321,-0.909909618,0.95123469,-0.886218185,-0.983603499,-0.657415493,0.397355115,0.894687859,-0.918003634,-0.885774934,-0.964833631,0.979919225,0.976611248,0.848328802,-0.824494835
6.2.1,0.45390947,-0.634356754,0.96623966,-0.182104992,-0.520807598,0.947988662,0.849508486,-0.980720969,-0.996545339,-0.952054168,-0.947160619,-0.866933737,0.9732451,0.996545339,0.94620523,0.993403074,-0.972091698,-0.520807598,-0.970936995,1,0.31324091,0.807701712,-0.729652636,0.824101328,0.996291079,-0.925015275,-0.899194638,0.972977634,-0.98576657,-0.996545339,0.916165979,-0.986506095,-0.084354691,0.970029884,-0.233635248,-0.872107686,0.980863696,-0.773041767,-0.634356754,0.997861756,0.988335285,-0.996545339,-0.994281118,-0.993060982,0.45390947,0.526167882,0.996545339,0.406749357,0.45390947,-0.955744067,0.962804917,-0.978009895,0.964786023,-0.924126888,-0.460196127,0.996545339,-0.634356754,0.397772268,-0.846794993,0.996191201,0.31324091,-0.971759089,0.985185064,0.987765543,0.933727309,0.99587915,-0.434501487,-0.520807598,0.949457213,0.137096895,0.991949886,0.120894432,-0.996545339,0.986096051,0.964786023,-0.90693844,0.924221701,0.992567915,0.627048293,-0.512541432,-0.91329352,0.973758405,0.916237695,0.996964887,-0.995724409,-0.996545339,-0.917018876,0.887713915
11.5.2,-0.262973471,0.072208081,0.371871875,0.358130155,-0.588401308,0.112522902,0.445924554,-0.31095996,-0.322869592,-0.216205751,-0.278425499,-0.354540746,0.176183601,0.322869592,0.153547914,0.305388742,-0.346063206,-0.588401308,-0.318607612,0.31324091,1,0.545180773,0.308548761,0.274266539,0.326317267,-0.382866138,-0.40964843,0.194716245,-0.379633169,-0.322869592,0.270238641,-0.407448783,0.010444989,0.282366364,0.016575359,-0.006404033,0.274056164,-0.458280635,0.072208081,0.321897208,0.337113379,-0.322869592,-0.326655142,-0.274807577,-0.262973471,-0.283024192,0.322869592,-0.485728574,-0.262973471,-0.285990089,0.23923817,-0.350960451,0.349377096,-0.361477853,-0.604916057,0.322869592,0.072208081,0.828152221,-0.142256141,0.318623047,1,-0.343972303,0.278891776,0.294122786,0.273374647,0.322583266,0.133095856,-0.588401308,0.217331811,0.774384757,0.250536253,0.156947838,-0.322869592,0.2919824,0.349377096,-0.530152122,0.24147672,0.299766838,0.315946568,0.36718114,0.023145808,0.296939547,0.345782382,0.283093695,-0.301925545,-0.322869592,-0.369702753,0.349435229
12.4.2,0.313672226,-0.529036976,0.876525747,0.104336187,-0.411659991,0.820349156,0.954286019,-0.823965692,-0.819580559,-0.828870375,-0.90172757,-0.764501585,0.746815344,0.819580559,0.674830289,0.801454486,-0.846543993,-0.411659991,-0.895267838,0.807701712,0.545180773,1,-0.317866046,0.81810558,0.817773625,-0.765481359,-0.773248635,0.770022006,-0.841306095,-0.819580559,0.744333938,-0.845139446,-0.312820072,0.856586978,-0.175019203,-0.66375008,0.715760372,-0.56610353,-0.529036976,0.813678256,0.819543306,-0.819580559,-0.819135702,-0.816215029,0.313672226,0.064583569,0.819580559,0.106179954,0.313672226,-0.786680946,0.844110341,-0.815983461,0.718881181,-0.668897777,-0.677034327,0.819580559,-0.529036976,0.49057908,-0.751253195,0.813357073,0.545180773,-0.776627155,0.810936005,0.773576646,0.778760675,0.822678319,-0.109251287,-0.411659991,0.771595258,0.45615425,0.79569103,-0.057196662,-0.819580559,0.774586404,0.718881181,-0.956828691,0.659556391,0.822076589,0.76222732,-0.046019421,-0.665685485,0.709524978,0.740130792,0.784424017,-0.820462244,-0.819580559,-0.685335344,0.64883755
