,13.1.3,13.1.2,8.8.2,17.9.1,13.1.1,3.b.1,11.6.2,10.4.1,6.5.1,1.a.2,4.2.2,15.8.1,7.1.1,3.d.2,7.3.1,7.1.2,17.8.1,11.5.1,4.5.1,6.2.1,11.5.2,12.4.2,8.9.1,3.8.2,4.3.1,7.2.1,2.a.1,6.4.2,6.6.1,3.8.1,10.5.1,6.4.1,10.7.3,11.1.1,2.c.1,14.1.1,1.1.1,12.c.1,11.b.1,2.2.2,9.5.2,3.4.1,15.5.1,8.3.1,1.5.4,8.1.1,3.6.1,16.6.1,11.b.2,2.2.1,9.5.1,1.3.1,12.a.1,7.a.1,17.17.1,3.4.2,1.5.3,14.7.1,17.13.1,3.2.1,1.5.2,9.1.2,5.b.1,15.1.1,16.2.2,3.2.2,17.4.1,1.5.1,3.3.5,2.1.2,15.6.1,17.3.1,1.2.1,9.4.1,7.b.1,12.b.1,2.1.1,17.1.1,8.2.1,17.3.2,10.c.1,3.3.3,2.5.1,1.4.1,3.3.2,16.3.2,2.5.2,15.2.1
8.9.1,-0.415703106,0.464238345,-0.589684356,0.676401299,0.322411836,-0.763725343,-0.430108329,0.739172143,0.719194952,0.778840156,0.651818414,0.58749002,-0.83507973,-0.719194952,-0.757660231,-0.735201288,0.674965792,0.322411836,0.676458427,-0.729652636,0.308548761,-0.317866046,1,-0.649181341,-0.717158724,0.702664896,0.667675881,-0.742389547,0.679643299,0.719194952,-0.669692325,0.67558606,-0.097364697,-0.672478903,0.235702979,0.761682614,-0.738836497,0.616033385,0.464238345,-0.721074045,-0.702253758,0.719194952,0.715233959,0.724055358,-0.415703106,-0.695852627,-0.719194952,-0.624235651,-0.415703106,0.70936151,-0.677852084,0.706783055,-0.658463788,0.709705415,0.073675566,-0.719194952,0.464238345,0.206703114,0.667161933,-0.725238365,0.308548761,0.681681592,-0.761071646,-0.762890913,-0.664488336,-0.721334573,0.395102854,0.322411836,-0.752744854,0.419900586,-0.736284896,-0.120501649,0.719194952,-0.715952068,-0.658463788,0.436137781,-0.744617188,-0.735689167,-0.283324501,0.82044325,0.807313217,-0.767555941,-0.595976138,-0.750113352,0.728028856,0.719194952,0.616153495,-0.709723961
3.8.2,0.354961139,-0.536312093,0.781433136,-0.427943768,-0.470904158,0.852125578,0.885018644,-0.898052545,-0.830851121,-0.940378307,-0.885444067,-0.775899162,0.826260683,0.830851121,0.746309695,0.818379287,-0.861932579,-0.470904158,-0.901167471,0.824101328,0.274266539,0.81810558,-0.649181341,1,0.832310986,-0.834971556,-0.874346394,0.779830441,-0.838665562,-0.830851121,0.773976743,-0.852851121,-0.133089324,0.846175441,-0.102049344,-0.783470996,0.741315163,-0.675118445,-0.536312093,0.822933908,0.823497994,-0.830851121,-0.82869398,-0.825185901,0.354961139,0.168537435,0.830851121,0.284745055,0.354961139,-0.822729444,0.793340117,-0.821286336,0.725029915,-0.759446833,-0.46813247,0.830851121,-0.536312093,0.247958379,-0.753244487,0.826109019,0.274266539,-0.818290665,0.886213866,0.83540553,0.656354007,0.836649089,0.108376999,-0.470904158,0.794636532,0.039365995,0.805560122,0.00957549,-0.830851121,0.800412182,0.725029915,-0.806765444,0.706852835,0.849003498,0.532980585,-0.361400975,-0.772624806,0.747398399,0.68890579,0.823680113,-0.839815699,-0.830851121,-0.682333329,0.764240176
4.3.1,0.443656219,-0.645426926,0.972637015,-0.171001944,-0.501004704,0.945326789,0.85876917,-0.987106791,-0.999891095,-0.955592788,-0.952519355,-0.89103574,0.967951233,0.999891095,0.951310642,0.99631421,-0.976633838,-0.501004704,-0.976257185,0.996291079,0.326317267,0.817773625,-0.717158724,0.832310986,1,-0.920675588,-0.906202553,0.976953872,-0.98816184,-0.999891095,0.928968609,-0.98980524,-0.100864834,0.976003644,-0.210646613,-0.875051135,0.983176069,-0.756736303,-0.645426926,0.997587233,0.994844978,-0.999891095,-0.999350193,-0.995282597,0.443656219,0.518265279,0.999891095,0.40574877,0.443656219,-0.970307301,0.967333646,-0.988380316,0.970666344,-0.917958866,-0.508332108,0.999891095,-0.645426926,0.404400617,-0.877541823,0.999272413,0.326317267,-0.975522855,0.988092441,0.991217733,0.928247693,0.999301671,-0.42203276,-0.501004704,0.950537112,0.148107283,0.992915624,0.12651013,-0.999891095,0.991596568,0.970666344,-0.915347615,0.9263475,0.996254809,0.637214844,-0.457001176,-0.914649704,0.973525865,0.902021164,0.996579301,-0.999406658,-0.999891095,-0.91924941,0.885897092
7.2.1,-0.357082992,0.59526834,-0.836080713,0.241162784,0.704895742,-0.885216225,-0.767840941,0.927233406,0.922185747,0.910010856,0.837560237,0.915273487,-0.912621725,-0.922185747,-0.783019194,-0.900645923,0.955206331,0.704895742,0.890576376,-0.925015275,-0.382866138,-0.765481359,0.702664896,-0.834971556,-0.920675588,1,0.955766531,-0.827324226,0.958953803,0.922185747,-0.739323578,0.958951324,-0.128536148,-0.84050331,0.257005741,0.826063651,-0.875771781,0.872640614,0.59526834,-0.909159638,-0.908506898,0.922185747,0.911826697,0.906773961,-0.357082992,-0.294552529,-0.922185747,-0.114415853,-0.357082992,0.935450135,-0.818185525,0.90503985,-0.862078058,0.965172788,0.405917884,-0.922185747,0.59526834,-0.449354635,0.715176711,-0.91466668,-0.382866138,0.937398839,-0.908817046,-0.939131952,-0.87703821,-0.915338971,0.263398257,0.704895742,-0.811035001,-0.037656603,-0.90126459,-0.336613947,0.922185747,-0.871872731,-0.862078058,0.805698435,-0.77150257,-0.904306304,-0.656091693,0.467462251,0.823178021,-0.898644848,-0.731454331,-0.922307503,0.918748415,0.922185747,0.908194623,-0.907365032
2.a.1,-0.185904676,0.591237388,-0.817758472,0.272661099,0.569284314,-0.86024272,-0.757040955,0.944010255,0.906391982,0.920263877,0.828097959,0.89978813,-0.866446495,-0.906391982,-0.772147599,-0.888181202,0.941470624,0.569284314,0.885485895,-0.899194638,-0.40964843,-0.773248635,0.667675881,-0.874346394,-0.906202553,0.955766531,1,-0.814296387,0.940890784,0.906391982,-0.758283818,0.942604683,-0.218173667,-0.829122614,0.379804259,0.854845789,-0.850655045,0.763644344,0.591237388,-0.894625212,-0.919328262,0.906391982,0.898333908,0.874803547,-0.185904676,-0.266503269,-0.906391982,-0.105680714,-0.185904676,0.913902373,-0.804764443,0.885905994,-0.841768229,0.887875144,0.486717963,-0.906391982,0.591237388,-0.371674061,0.712601229,-0.899510936,-0.40964843,0.905738201,-0.898813454,-0.940284949,-0.817360952,-0.90180941,0.17442952,0.569284314,-0.803034026,-0.072319452,-0.890576803,-0.406468892,0.906391982,-0.861911061,-0.841768229,0.796398675,-0.773407836,-0.896934376,-0.712799715,0.3696248,0.78677422,-0.883493983,-0.716517579,-0.910094028,0.905428553,0.906391982,0.82728737,-0.963994231
6.4.2,0.493421341,-0.630614641,0.972863941,-0.181681561,-0.361101393,0.937286344,0.834944389,-0.954857727,-0.976944,-0.931255758,-0.955269851,-0.811976833,0.959737674,0.976944,0.983332718,0.985275536,-0.922157173,-0.361101393,-0.959581167,0.972977634,0.194716245,0.770022006,-0.742389547,0.779830441,0.976953872,-0.827324226,-0.814296387,1,-0.936942648,-0.976944,0.964402684,-0.937455135,-0.218782798,0.984230518,-0.182673056,-0.857312085,0.977515078,-0.660306249,-0.630614641,0.980962281,0.97201369,-0.976944,-0.980779013,-0.982077114,0.493421341,0.642674796,0.976944,0.577817868,0.493421341,-0.927221864,0.988596624,-0.969415203,0.953094315,-0.839154855,-0.491918046,0.976944,-0.630614641,0.284523892,-0.916936585,0.980833515,0.194716245,-0.926766593,0.97235325,0.957701039,0.910547384,0.98008007,-0.506821638,-0.361101393,0.976171955,0.134253834,0.98093189,-0.010704831,-0.976944,0.987854295,0.953094315,-0.892856018,0.954398206,0.983572944,0.575762813,-0.491021009,-0.92617506,0.956838284,0.927972329,0.974483045,-0.979295206,-0.976944,-0.8595481,0.81242806
6.6.1,-0.419103178,0.676372332,-0.950814913,0.124413501,0.549358811,-0.944627184,-0.85334811,0.979901137,0.988789862,0.947738875,0.930762599,0.928141485,-0.947197973,-0.988789862,-0.896854475,-0.974575015,0.994234684,0.549358811,0.964431051,-0.98576657,-0.379633169,-0.841306095,0.679643299,-0.838665562,-0.98816184,0.958953803,0.940890784,-0.936942648,1,0.988789862,-0.866032784,0.997876512,0.017642208,-0.945604302,0.25999847,0.884404983,-0.955732217,0.774594544,0.676372332,-0.981061539,-0.984339469,0.988789862,0.983750888,0.980539738,-0.419103178,-0.409044843,-0.988789862,-0.27236967,-0.419103178,0.977707626,-0.934684755,0.969297324,-0.949116353,0.937315585,0.490301118,-0.988789862,0.676372332,-0.456683543,0.827868887,-0.983899788,-0.379633169,0.981113816,-0.966897411,-0.986062307,-0.933390505,-0.98447957,0.376781078,0.549358811,-0.903375553,-0.136758915,-0.980664006,-0.22790793,0.988789862,-0.963126515,-0.949116353,0.907626823,-0.867346014,-0.976530811,-0.705878215,0.416918101,0.896544281,-0.951703832,-0.851126764,-0.985235803,0.987327179,0.988789862,0.932900976,-0.90566575
3.8.1,-0.44246566,0.645497224,-0.972742952,0.169370127,0.500471851,-0.947970588,-0.857708735,0.98666607,1,0.956260999,0.953124474,0.891132789,-0.969681339,-1,-0.949117265,-0.996422726,0.977020116,0.500471851,0.976611248,-0.996545339,-0.322869592,-0.819580559,0.719194952,-0.830851121,-0.999891095,0.922185747,0.906391982,-0.976944,0.988789862,1,-0.92674848,0.989913047,0.099666344,-0.975569521,0.218487795,0.875715646,-0.982299787,0.756818724,0.645497224,-0.997685026,-0.994953333,1,0.999271408,0.995391,-0.44246566,-0.518650123,-1,-0.403994126,-0.44246566,0.970368244,-0.968422064,0.988487968,-0.968282984,0.917190708,0.509111881,-1,0.645497224,-0.399076384,0.878040184,-0.999381011,-0.322869592,0.974059274,-0.987580369,-0.991325694,-0.933065893,-0.999358489,0.427823546,0.500471851,-0.951428754,-0.148123415,-0.993428291,-0.127761743,1,-0.990260409,-0.968282984,0.915447312,-0.925560859,-0.996340539,-0.644230142,0.458515635,0.914749325,-0.974010117,-0.901008235,-0.996532064,0.99951551,1,0.917921429,-0.885993582
10.5.1,0.379270141,-0.463860686,0.939258069,-0.245051313,-0.352217633,0.838839428,0.833933744,-0.916821476,-0.92674848,-0.890084276,-0.927601227,-0.722045882,0.905571963,0.92674848,0.965846091,0.948838994,-0.841268968,-0.352217633,-0.924557852,0.916165979,0.270238641,0.744333938,-0.669692325,0.773976743,0.928968609,-0.739323578,-0.758283818,0.964402684,-0.866032784,-0.92674848,1,-0.881648536,-0.31591588,0.959175755,-0.066992843,-0.73593878,0.933721976,-0.64095977,-0.463860686,0.936952546,0.927116198,-0.92674848,-0.939184476,-0.923790704,0.379270141,0.654538402,0.92674848,0.624715774,0.379270141,-0.852577622,0.951045881,-0.945124376,0.913617577,-0.761272051,-0.609705938,0.92674848,-0.463860686,0.281195285,-0.922660732,0.936510717,0.270238641,-0.856531652,0.944368344,0.901781162,0.808828615,0.937262278,-0.408119798,-0.352217633,0.971440052,0.267256527,0.912632928,-0.147023307,-0.92674848,0.955520091,0.913617577,-0.887054526,0.971030137,0.947760951,0.443290406,-0.40708501,-0.823633269,0.919548946,0.934839847,0.916090324,-0.927881778,-0.92674848,-0.771764149,0.756334367
6.4.1,-0.402856946,0.638986124,-0.952345528,0.151865456,0.577424317,-0.933034764,-0.865532943,0.983838578,0.989913047,0.951798152,0.935177801,0.92003952,-0.950055078,-0.989913047,-0.901590099,-0.97825224,0.989508715,0.577424317,0.968659988,-0.986506095,-0.407448783,-0.845139446,0.67558606,-0.852851121,-0.98980524,0.958951324,0.942604683,-0.937455135,0.997876512,0.989913047,-0.881648536,1,0.038434813,-0.950121256,0.225443663,0.863028546,-0.957228916,0.79776733,0.638986124,-0.983492929,-0.984471756,0.989913047,0.986478279,0.979826452,-0.402856946,-0.410468075,-0.989913047,-0.278727492,-0.402856946,0.973319367,-0.934074986,0.976569252,-0.951425946,0.940875831,0.517054207,-0.989913047,0.638986124,-0.470516345,0.83437311,-0.986220227,-0.407448783,0.980023364,-0.974429557,-0.985985717,-0.92070407,-0.987227754,0.349023333,0.577424317,-0.912336283,-0.16564926,-0.975547409,-0.198016284,0.989913047,-0.966696344,-0.951425946,0.916905974,-0.880450147,-0.980475316,-0.674571012,0.413588437,0.8826922,-0.955742304,-0.86268396,-0.984445748,0.987866086,0.989913047,0.929560713,-0.904922266
10.7.3,-0.476490528,-0.033453861,-0.273629606,-0.139555335,-0.109085533,-0.129480945,-0.430872783,0.0529383,0.099666344,0.109343067,0.324503825,-0.040263229,-0.118748947,-0.099666344,-0.212098286,-0.123251679,0.019363581,-0.109085533,0.224484352,-0.084354691,0.010444989,-0.312820072,-0.097364697,-0.133089324,-0.100864834,-0.128536148,-0.218173667,-0.218782798,0.017642208,0.099666344,-0.31591588,0.038434813,1,-0.291105061,-0.624967748,-0.113061801,-0.08294964,-0.04709264,-0.033453861,-0.107494195,-0.05488972,0.099666344,0.122863336,0.158535207,-0.476490528,-0.119855226,-0.099666344,-0.482118893,-0.476490528,0.04644707,-0.283724116,0.163728589,-0.078650256,-0.080983218,0.336056519,-0.099666344,-0.033453861,-0.084875852,0.405702627,-0.110284644,0.010444989,0.033281895,-0.151585119,0.016549322,-0.057034323,-0.118932205,0.003138217,-0.109085533,-0.247063435,-0.357139579,-0.073164181,0.894391442,0.099666344,-0.146748756,-0.078650256,0.34260451,-0.163916108,-0.13763779,0.1651624,-0.162435747,0.116916229,-0.004443661,-0.246461386,-0.045684674,0.106918533,0.099666344,0.010775003,0.342731303
11.1.1,0.50736968,-0.629727418,0.986991431,-0.15177051,-0.39935303,0.944081248,0.918989816,-0.96337737,-0.975569521,-0.95049483,-0.988943921,-0.828089247,0.94599156,0.975569521,0.956582781,0.977601772,-0.938756452,-0.39935303,-0.98817806,0.970029884,0.282366364,0.856586978,-0.672478903,0.846175441,0.976003644,-0.84050331,-0.829122614,0.984230518,-0.945604302,-0.975569521,0.959175755,-0.950121256,-0.291105061,1,-0.122076837,-0.839817171,0.950317908,-0.672342329,-0.629727418,0.977265927,0.966972228,-0.975569521,-0.979304457,-0.982598485,0.50736968,0.515755337,0.975569521,0.509867854,0.50736968,-0.928538725,0.990834185,-0.969661254,0.935443649,-0.835440746,-0.542533601,0.975569521,-0.629727418,0.357577034,-0.917967632,0.977107974,0.282366364,-0.932320427,0.979439367,0.946075857,0.88775686,0.979805368,-0.379435967,-0.39935303,0.965004231,0.201761675,0.969660123,-0.067280461,-0.975569521,0.97845312,0.935443649,-0.946753786,0.918749843,0.983718506,0.597161953,-0.412074707,-0.907008326,0.924713695,0.92148965,0.964697085,-0.978644832,-0.975569521,-0.852982715,0.787585313
2.c.1,0.400042139,0.206848789,-0.156823196,-0.017654993,-0.137829511,-0.286040274,0.025516815,0.244831032,0.218487795,0.232164264,0.135681357,0.148550139,-0.206431139,-0.218487795,-0.089410337,-0.217334057,0.24303349,-0.137829511,0.174032555,-0.233635248,0.016575359,-0.175019203,0.235702979,-0.102049344,-0.210646613,0.257005741,0.379804259,-0.182673056,0.25999847,0.218487795,-0.066992843,0.225443663,-0.624967748,-0.122076837,1,0.381771791,-0.180982685,-0.007183815,0.206848789,-0.232803638,-0.28440025,0.218487795,0.200996956,0.168346237,0.400042139,-0.141253104,-0.218487795,0.127612247,0.400042139,0.165032528,-0.199546409,0.149016116,-0.125209121,0.098931901,0.043339589,-0.218487795,0.206848789,0.27260598,0.004213138,-0.216553599,0.016575359,0.134909254,-0.159770703,-0.284481735,-0.371454213,-0.211328944,0.342631047,-0.137829511,-0.198587103,-0.001129321,-0.274996086,-0.561613211,0.218487795,-0.155490275,-0.125209121,0.11009188,-0.183692061,-0.212285167,-0.65798936,0.207199696,0.153444912,-0.27574444,-0.186136072,-0.253236091,0.218275671,0.218487795,0.048034072,-0.498763211
14.1.1,-0.508841781,0.873046626,-0.810999427,0.193158959,0.210332,-0.933508879,-0.697507901,0.893722487,0.875715646,0.885993365,0.826401149,0.85875812,-0.841445124,-0.875715646,-0.834512339,-0.853038944,0.912545725,0.210332,0.855288163,-0.872107686,-0.006404033,-0.66375008,0.761682614,-0.783470996,-0.875051135,0.826063651,0.854845789,-0.857312085,0.884404983,0.875715646,-0.73593878,0.863028546,-0.113061801,-0.839817171,0.381771791,1,-0.848026447,0.495290266,0.873046626,-0.861652484,-0.882267907,0.875715646,0.863976858,0.882533114,-0.508841781,-0.408551138,-0.875715646,-0.378599343,-0.508841781,0.903482247,-0.836851003,0.814593563,-0.834910936,0.792566853,0.200995612,-0.875715646,0.873046626,-0.162694766,0.736721993,-0.865412882,-0.006404033,0.889285115,-0.858649364,-0.898753775,-0.80261318,-0.866102236,0.343253825,0.210332,-0.774600009,0.241986028,-0.912528111,-0.335599283,0.875715646,-0.861384712,-0.834910936,0.702155457,-0.723605182,-0.863825959,-0.700352539,0.48747069,0.951505047,-0.816789301,-0.682239429,-0.897084612,0.885966092,0.875715646,0.805035093,-0.838940947
1.1.1,0.45776597,-0.620471918,0.951142579,-0.170731742,-0.477701629,0.900365817,0.777810622,-0.953138497,-0.982299787,-0.903010035,-0.902237805,-0.850407331,0.95380358,0.982299787,0.975173913,0.985587907,-0.935046287,-0.477701629,-0.928130226,0.980863696,0.274056164,0.715760372,-0.738836497,0.741315163,0.983176069,-0.875771781,-0.850655045,0.977515078,-0.955732217,-0.982299787,0.933721976,-0.957228916,-0.08294964,0.950317908,-0.180982685,-0.848026447,1,-0.742566147,-0.620471918,0.983349621,0.976126972,-0.982299787,-0.983674544,-0.979325829,0.45776597,0.636370387,0.982299787,0.479385937,0.45776597,-0.946340993,0.947159011,-0.972485138,0.988942353,-0.912376199,-0.450913725,0.982299787,-0.620471918,0.391924916,-0.860775633,0.984478767,0.274056164,-0.960618748,0.963411945,0.975437654,0.914483416,0.981191048,-0.528577638,-0.477701629,0.941787403,0.113712362,0.980333187,0.131758871,-0.982299787,0.992101362,0.988942353,-0.859663092,0.951377037,0.976305124,0.547439538,-0.51157078,-0.910252802,0.98294901,0.9117025,0.985069501,-0.980049192,-0.982299787,-0.927306572,0.867462271
12.c.1,-0.247504528,0.194694385,-0.663166263,0.380975157,0.927237934,-0.638935234,-0.61650853,0.745516949,0.756818724,0.727923901,0.657752841,0.680520922,-0.801742228,-0.756818724,-0.648807388,-0.755407965,0.739436136,0.927237934,0.710776357,-0.773041767,-0.458280635,-0.56610353,0.616033385,-0.675118445,-0.756736303,0.872640614,0.763644344,-0.660306249,0.774594544,0.756818724,-0.64095977,0.79776733,-0.04709264,-0.672342329,-0.007183815,0.495290266,-0.742566147,1,0.194694385,-0.757212545,-0.719546471,0.756818724,0.753641798,0.736382558,-0.247504528,-0.32187718,-0.756818724,-0.092598105,-0.247504528,0.729184731,-0.633259042,0.780158894,-0.722653624,0.896556973,0.374008245,-0.756818724,0.194694385,-0.491902916,0.556575893,-0.759028981,-0.458280635,0.76596446,-0.771750599,-0.764406093,-0.7037668,-0.75779814,0.190419192,0.927237934,-0.705643165,-0.155475866,-0.697979368,-0.135971166,0.756818724,-0.718512418,-0.722653624,0.662169902,-0.712938806,-0.748169747,-0.284191985,0.528601331,0.580201671,-0.791662593,-0.671679196,-0.750583324,0.744828504,0.756818724,0.78661641,-0.735637645
11.b.1,-0.676105552,1,-0.627902876,-0.161270617,-0.008632565,-0.751958325,-0.553648608,0.63689021,0.645497224,0.617263821,0.615239203,0.766964989,-0.558519131,-0.645497224,-0.61265256,-0.597010496,0.735554756,-0.008632565,0.63039985,-0.634356754,0.072208081,-0.529036976,0.464238345,-0.536312093,-0.645426926,0.59526834,0.591237388,-0.630614641,0.676372332,0.645497224,-0.463860686,0.638986124,-0.033453861,-0.629727418,0.206848789,0.873046626,-0.620471918,0.194694385,1,-0.614108246,-0.642239615,0.645497224,0.6290866,0.680597513,-0.676105552,-0.152211396,-0.645497224,-0.211343437,-0.676105552,0.741346803,-0.625113754,0.563885558,-0.651039842,0.592044056,-0.01063822,-0.645497224,1,-0.257602698,0.543951972,-0.6241123,0.072208081,0.725965626,-0.593912476,-0.645671618,-0.602291444,-0.625412585,0.280221377,-0.008632565,-0.469393343,0.351703895,-0.701615897,-0.354201768,0.645497224,-0.639210345,-0.651039842,0.520576103,-0.39782969,-0.609750593,-0.639991255,0.219738919,0.829549862,-0.523229637,-0.404281756,-0.661484661,0.65837074,0.645497224,0.697851865,-0.533101618
2.2.2,0.42604776,-0.614108246,0.973901469,-0.182004361,-0.496731017,0.94153377,0.854287886,-0.983053247,-0.997685026,-0.952826157,-0.953615479,-0.859073135,0.97164836,0.997685026,0.954417251,0.998167822,-0.964769178,-0.496731017,-0.974643558,0.997861756,0.321897208,0.813678256,-0.721074045,0.822933908,0.997587233,-0.909159638,-0.894625212,0.980962281,-0.981061539,-0.997685026,0.936952546,-0.983492929,-0.107494195,0.977265927,-0.232803638,-0.861652484,0.983349621,-0.757212545,-0.614108246,1,0.993224331,-0.997685026,-0.9975786,-0.992090899,0.42604776,0.546011969,0.997685026,0.429451948,0.42604776,-0.951973302,0.972116752,-0.985176495,0.966026919,-0.906074281,-0.504561129,0.997685026,-0.614108246,0.383940759,-0.868371362,0.99877828,0.321897208,-0.962981766,0.987943882,0.987523009,0.931349722,0.998540673,-0.440997456,-0.496731017,0.962929154,0.171980906,0.99168014,0.097663577,-0.997685026,0.990826038,0.966026919,-0.916975798,0.940935877,0.997059738,0.626498919,-0.486232845,-0.903799252,0.978280006,0.926483792,0.995743913,-0.996851858,-0.997685026,-0.902115344,0.88516135
9.5.2,0.372763953,-0.642239615,0.96771693,-0.156028453,-0.455072024,0.937889888,0.841371698,-0.987649898,-0.994953333,-0.951435069,-0.943453367,-0.886635539,0.953742797,0.994953333,0.941096616,0.992655165,-0.971362093,-0.455072024,-0.9694749,0.988335285,0.337113379,0.819543306,-0.702253758,0.823497994,0.994844978,-0.908506898,-0.919328262,0.97201369,-0.984339469,-0.994953333,0.927116198,-0.984471756,-0.05488972,0.966972228,-0.28440025,-0.882267907,0.976126972,-0.719546471,-0.642239615,0.993224331,1,-0.994953333,-0.994657943,-0.983738925,0.372763953,0.518711669,0.994953333,0.389300006,0.372763953,-0.962697555,0.964260597,-0.982283929,0.962351186,-0.891241965,-0.540342583,0.994953333,-0.642239615,0.375553179,-0.873228871,0.994647925,0.337113379,-0.960958702,0.978519052,0.992119679,0.92835702,0.994456636,-0.43187583,-0.455072024,0.947788606,0.171442514,0.99139397,0.169441935,-0.994953333,0.985150296,0.962351186,-0.910827355,0.92719558,0.992325168,0.681043987,-0.422329036,-0.897643962,0.973949439,0.896461147,0.992561928,-0.994471289,-0.994953333,-0.89387195,0.908655691
3.4.1,-0.44246566,0.645497224,-0.972742952,0.169370127,0.500471851,-0.947970588,-0.857708735,0.98666607,1,0.956260999,0.953124474,0.891132789,-0.969681339,-1,-0.949117265,-0.996422726,0.977020116,0.500471851,0.976611248,-0.996545339,-0.322869592,-0.819580559,0.719194952,-0.830851121,-0.999891095,0.922185747,0.906391982,-0.976944,0.988789862,1,-0.92674848,0.989913047,0.099666344,-0.975569521,0.218487795,0.875715646,-0.982299787,0.756818724,0.645497224,-0.997685026,-0.994953333,1,0.999271408,0.995391,-0.44246566,-0.518650123,-1,-0.403994126,-0.44246566,0.970368244,-0.968422064,0.988487968,-0.968282984,0.917190708,0.509111881,-1,0.645497224,-0.399076384,0.878040184,-0.999381011,-0.322869592,0.974059274,-0.987580369,-0.991325694,-0.933065893,-0.999358489,0.427823546,0.500471851,-0.951428754,-0.148123415,-0.993428291,-0.127761743,1,-0.990260409,-0.968282984,0.915447312,-0.925560859,-0.996340539,-0.644230142,0.458515635,0.914749325,-0.974010117,-0.901008235,-0.996532064,0.99951551,1,0.917921429,-0.885993582
15.5.1,-0.436062118,0.6290866,-0.975984151,0.173262994,0.494505175,-0.941428588,-0.860833993,0.985484632,0.999271408,0.95450637,0.955805181,0.884212277,-0.969133946,-0.999271408,-0.954911569,-0.998029367,0.970237265,0.494505175,0.977235507,-0.994281118,-0.326655142,-0.819135702,0.715233959,-0.82869398,-0.999350193,0.911826697,0.898333908,-0.980779013,0.983750888,0.999271408,-0.939184476,0.986478279,0.122863336,-0.979304457,0.200996956,0.863976858,-0.983674544,0.753641798,0.6290866,-0.9975786,-0.994657943,0.999271408,1,0.994431361,-0.436062118,-0.532579175,-0.999271408,-0.421881222,-0.436062118,0.966831929,-0.97217973,0.992302767,-0.969260908,0.909272992,0.530828225,-0.999271408,0.6290866,-0.395894894,0.89069334,-0.999633102,-0.326655142,0.968939643,-0.988900156,-0.988698657,-0.92864879,-0.999639012,0.430024504,0.494505175,-0.958647793,-0.16649552,-0.99085682,-0.104028488,0.999271408,-0.992596943,-0.969260908,0.919921426,-0.935330957,-0.997602957,-0.630655499,0.447979912,0.908944766,-0.975356848,-0.907205641,-0.994143123,0.998681027,0.999271408,0.911626845,-0.87811692
8.3.1,-0.524093448,0.680597513,-0.97639633,0.153528518,0.475835873,-0.959568729,-0.869103194,0.97622928,0.995391,0.951853593,0.961122541,0.887025558,-0.969061927,-0.995391,-0.956951465,-0.990218503,0.973662408,0.475835873,0.977603776,-0.993060982,-0.274807577,-0.816215029,0.724055358,-0.825185901,-0.995282597,0.906773961,0.874803547,-0.982077114,0.980539738,0.995391,-0.923790704,0.979826452,0.158535207,-0.982598485,0.168346237,0.882533114,-0.979325829,0.736382558,0.680597513,-0.992090899,-0.983738925,0.995391,0.994431361,1,-0.524093448,-0.522796286,-0.995391,-0.44250004,-0.524093448,0.970110372,-0.974869189,0.980966346,-0.966178314,0.911558052,0.469133192,-0.995391,0.680597513,-0.394512779,0.887271673,-0.994057068,-0.274807577,0.975209199,-0.98449389,-0.979347982,-0.928765393,-0.994340831,0.435478012,0.475835873,-0.947117699,-0.111549539,-0.992572633,-0.079877095,0.995391,-0.989590952,-0.966178314,0.91314662,-0.912663977,-0.991319273,-0.623305581,0.472686301,0.939095322,-0.957786285,-0.896855489,-0.991569909,0.996414959,0.995391,0.923466845,-0.846044556
1.5.4,1,-0.676105552,0.472808138,0.033007825,-0.115533827,0.550125066,0.484437813,-0.38493497,-0.44246566,-0.413165829,-0.493762373,-0.444613709,0.458730951,0.44246566,0.523027146,0.416328799,-0.464193105,-0.115533827,-0.459463465,0.45390947,-0.262973471,0.313672226,-0.415703106,0.354961139,0.443656219,-0.357082992,-0.185904676,0.493421341,-0.419103178,-0.44246566,0.379270141,-0.402856946,-0.476490528,0.50736968,0.400042139,-0.508841781,0.45776597,-0.247504528,-0.676105552,0.42604776,0.372763953,-0.44246566,-0.436062118,-0.524093448,1,0.244464462,0.44246566,0.469288885,1,-0.495059796,0.482118768,-0.401712936,0.47364971,-0.468045981,0.214287079,0.44246566,-0.676105552,0.235264042,-0.456672823,0.431742745,-0.262973471,-0.524260285,0.446310701,0.383330932,0.389859255,0.433623692,-0.231592948,-0.115533827,0.373968047,-0.367156591,0.47037896,-0.255110494,-0.44246566,0.472721491,0.47364971,-0.377854523,0.299049617,0.425280359,0.074906554,-0.392941357,-0.683208366,0.325159082,0.355585646,0.444626425,-0.454600012,-0.44246566,-0.562405388,0.09915904
