Year,DT_TDS_DECT
2012.0,4.6137
2013.0,5.5799
2014.0,14.1069
2015.0,8.1693
2016.0,9.3051
2017.0,9.1826
2018.0,7.8576
2019.0,10.191
2020.0,
2021.0,
